Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
PENGGUNA PENGGUNA PENGGUNA PENGGUNA BANCI BISA MALU SAYA TAK BISA MENJAWAB PERTANYAAN KAMI DARI 2 HARI YANG LALU.... NYUNGSEP KOE PENGGUNA URL,0,0,0,1,0,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'kaleng', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
"PENGGUNA Nyonya, guru, saya senang menjadi guru yang suka bercanda atau guru yang suka mengejek. Saya rasa saya senang menjadi guru yang pecundang.'",0,0,0,1,0,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,"['bu', 'guru', 'enak', 'jablay', 'guru', 'sekolah', 'dasar', 'sih', 'kayak', 'nikmat', 'pecun', 'guru']"
"Jadi orang itu harus Gantle, kalau dia tidak Gantle, itu disebut BANCI!'",0,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
"USER sudah terbiasa dengan hal itu. Saya penggemar berat K-Pop, tetapi ketika saya berbicara dengan teman-teman saya, idola saya adalah seorang banci dan homo.",0,0,0,1,0,kali gue gemar korea pop omong teman teman gue idol gue banci homo,"['kali', 'gue', 'gemar', 'korea', 'pop', 'omong', 'teman', 'teman', 'gue', 'idol', 'gue', 'banci', 'homo']"
"PENGGUNA RT: Homo Bajingan!!!\nHati-hati dengan anak-anak kita terutama di kamar mandi pria, jangan tinggalkan mereka sendirian! URL",0,0,0,1,0,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,"['bajing', 'homo', 'hati', 'hati', 'hadap', 'anak', 'anak', 'utama', 'kamar', 'mandi', 'laki', 'laki', 'biar', 'uniform', 'resource', 'locator']"
Apakah kamu transgender atau anjing apa :( URL,0,0,0,1,0,transgender anjing uniform resource locator,"['transgender', 'anjing', 'uniform', 'resource', 'locator']"
PENGGUNA Anak pelacur... tidak jauh dari hobi berzina.. haha',0,0,0,1,0,anak pecun hobi zina haha,"['anak', 'pecun', 'hobi', 'zina', 'haha']"
"PENGGUNA PENGGUNA, bukankah ada menteri Soeharto yang gay?'",0,0,0,1,0,nya menteri suha o homo,"['nya', 'menteri', 'suha', 'o', 'homo']"
PENGGUNA Ngomongin soal itu...mulut lu kayak banci...beli cermin dulu baru liat diri lu sendiri...Bro',0,0,0,1,0,bicara mulut sepe i banci beli kaca lihat bro,"['bicara', 'mulut', 'sepe', 'i', 'banci', 'beli', 'kaca', 'lihat', 'bro']"
PENGGUNA Tunggu perintah dari PENGGUNA IMAM MESUM. BIR Sialan \xf0\x9f\x8d\xba\n\nApa yang membawa CLEAR...\nBASTARD DASAR',0,0,0,1,0,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,"['tunggu', 'komando', 'imam', 'bejat', 'cabul', 'tai', 'bir', 'bawa', 'ulama', 'dasar', 'banj', 'sempak']"
"PENGGUNA RT PENGGUNA Jangan kayak BANCI KALENG GATOT, sering bikin onar, jadilah pria sejati, MUNDUR, siap bertanding di Pilpres 2019 melawan Jokowi",0,0,0,1,0,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,"['kayak', 'banci', 'kaleng', 'gatot', 'gaduh', 'gentleman', 'mundur', 'saing', 'pilih', 'presiden', '2019', 'lawan', 'jokowi']"
"Sinyal Kntl!! Perawatan macam apa ini? Bukankah itu yang kamu maksud? Susah banget buat login ke Twitter, gimana cara buka Redtube? Cetan!! USER'",0,0,0,1,0,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,"['sinyal', 'kontol', 'pelihara', 'niat', 'sih', 'login', 'twitter', 'doang', 'susah', 'open', 'redtube', 'setan']"
Kenapa kamu terlihat seperti jalang GTA yang ingin dijemput dengan mobil?,0,0,0,1,0,kayak jablay grand theft auto jemput pakai mobil,"['kayak', 'jablay', 'grand', 'theft', 'auto', 'jemput', 'pakai', 'mobil']"
PENGGUNA Oh pita banci \xf0\x9f\x98\x82',0,0,0,1,0,ih banci selotipan,"['ih', 'banci', 'selotipan']"
Ahok memang kasar dalam berkata-kata. Ia melampiaskan amarah dan melarikan diri karena sifat maskulinnya yang lembut.,0,0,0,1,0,ahok verbal keras lampias lari lelaki lunak,"['ahok', 'verbal', 'keras', 'lampias', 'lari', 'lelaki', 'lunak']"
PENGGUNA Kapan PENGGUNA MESUM yang bejat itu akan kembali? Unta itu pengecut...',0,0,0,1,0,sih bejat cabul kecut sih onta iya,"['sih', 'bejat', 'cabul', 'kecut', 'sih', 'onta', 'iya']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Ya sudahlah, ngobrolnya diem aja deh... Bukan, yang kayak anggota DPR cabul di Mingkem itu... yang jelas-jelas udah selingkuh 7 tahun, pura-pura gonta-ganti pasangan aja deh... #bong200 nggak bakal masuk otak lu...'",0,0,1,1,0,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,"['yaelah', 'chat', 'urus', 'lihat', 'mesum', 'anggota', 'dewan', 'wakil', 'rakyat', 'diam', 'nyata', 'selingkuh', 'tujuh', 'pura', 'pura', 'budek', 'cebong', 'iq', 'ratus', 'otak']"
"PENGGUNA Segera tag pestanya...\nKalau nggak berani, berarti kamu BANCI....'",0,0,0,1,0,langsung tag ainya berani ya bera i banci,"['langsung', 'tag', 'ainya', 'berani', 'ya', 'bera', 'i', 'banci']"
