Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
"KAU TAK PERNAH BELAJAR AL-QURAN, BRO??? TAK HERAN MULUTMU SEPERTI ORANG KAFIR YANG JAHAT DAN HINA farhatabbaslaw'",1,0,1,0,0,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,"['al', 'alquran', 'ya', 'bang', 'mulut', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
"PENGGUNA Awassss... Jangan sampai berita sampai ke kamu! Nanti susah cari kosakata. Kalau cuma ngomong, mata kamu juling, bibir kamu miring ke samping, suara kamu keluar kayak kentut... ""politik sekarang kotor banget!"". Kalau kamu tahu caranya.. Plng Sambil ky nhn ngeden..""goblok!"". \xf0\x9f\x98\x8b",0,0,1,0,0,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,"['awaasss', 'berita', 'saudara', 'gerung', 'susah', 'cari', 'kosakata', 'bocor', 'picing', 'mata', 'bibir', 'monyong', 'samping', 'suara', 'ky', 'nhn', 'kentut', 'politik', 'kotor', 'zaman', 'b', 'pulang', 'ky', 'nhn', 'ngeden', 'dungu']"
"ugh! Mengaku lebih pintar dari orang politik, AKU AKAN TERLIHAT SEPERTI KALIAN ORANG BODOH!!! PENGGUNA kakakakak'",0,0,1,0,0,ih pintar orang politik kaca oi tampang kakak orang bego wkwk,"['ih', 'pintar', 'orang', 'politik', 'kaca', 'oi', 'tampang', 'kakak', 'orang', 'bego', 'wkwk']"
"Geng Cicak Dahi Terbakar, begitulah mereka, mereka suka membuat kegaduhan tapi kalau gengnya salah mereka pura-pura tuli...URL Geng Cingkrang Dasar",0,0,1,0,0,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,"['gerombol', 'kadal', 'jidat', 'gosong', 'suka', 'ribut', 'gerombol', 'salah', 'pura', 'pura', 'budek', 'dasar', 'gerombol', 'cingkrang', 'uniform', 'resource', 'locator']"
PENGGUNA RT: PENGGUNA PENGGUNA Apakah Anda rabun jauh atau tuli?\nSaya menulis bukan berbicara!!\n\xf0\x9f\x98\x81\xf0\x9f\x98\x80',0,0,1,0,0,rabun budek gue tulis bicara,"['rabun', 'budek', 'gue', 'tulis', 'bicara']"
"Nantang buka Dilah, eh katanya Setan itu memang ujung-ujungnya kamus yang menentang ""Kenegarawanan Pak Joko Widodo, Presiden RI ke-7, makin stres aja, awas kena stroke atau serangan jantung nanti rakyat Indonesia kalah sama badut-badut politik"" MERDEKA.",0,0,1,0,0,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,"['tantang', 'buka', 'dada', 'eh', 'setan', 'habis', 'kamus', 'lawan', 'kenegarawanan', 'joko', 'widodo', 'presiden', 'ri', '7', 'stresssssss', 'nih', 'hati', 'hati', 'kena', 'strok', 'serang', 'jantung', 'rakyat', 'indonesia', 'hilang', 'badut', 'badut', 'politik', 'merdeka']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA Ya sudah, kita urus saja obrolannya... Jangan, yang mirip anggota DPR cabul di Mingkem itu... yang jelas-jelas sudah selingkuh selama 7 tahun, kalian ini pura-pura promiscuous... #bong200 nggak akan masuk otakmu...'",0,0,1,1,0,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,"['yaelah', 'chat', 'urus', 'lihat', 'mesum', 'anggota', 'dewan', 'wakil', 'rakyat', 'diam', 'nyata', 'selingkuh', 'tujuh', 'pura', 'pura', 'budek', 'cebong', 'iq', 'ratus', 'otak']"
USER CHRIST THE DOG ASSU JIAMPUT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK K,1,0,1,1,0,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,"['kristus', 'anjing', 'anjing', 'jembut', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'k']"
"Wanita sepertimu lebih baik mati saja, dia jelek, tidak perlu berpura-pura menjadi penata rias!",0,0,1,0,0,perempuan kayak mending mati deh jelek sok make up a ist,"['perempuan', 'kayak', 'mending', 'mati', 'deh', 'jelek', 'sok', 'make', 'up', 'a', 'ist']"
Aku perawan yang dijual...\nAku sok banget mau pesan.. Tante dasar idiot bego..',0,0,1,1,0,perjaka jual sok sok an booking tante idiot anjir,"['perjaka', 'jual', 'sok', 'sok', 'an', 'booking', 'tante', 'idiot', 'anjir']"
