Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
RT USER USER USER PKI hanya muncul saat menjelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,0,1,0,0,0,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
"PENGGUNA PENGGUNA PENGGUNA ""Provokasi Mayat, Politisasi Agama"" Penyebab Kekalahan Pilgub DKI, Begini Cebong Gambarkan Kekalahan Pemimpinnya.; FYI, Ahog tidak pernah ikut pemilu (kecuali sebagai wakil) dan bukan dari suku mayoritas",0,1,0,0,0,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,"['provokasi', 'mayat', 'politisasi', 'agama', 'kalah', 'pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'cebong', 'deskripsi', 'kalah', 'junjung', 'for', 'your', 'information', 'ahok', 'pilih', 'camat', 'wakil', 'etnis', 'mayoritas']"
tapi masih menikmati kebijakan-kebijakan yang dahulu diusulkan oleh PKI.. jadi apa...,0,1,0,0,0,nikmat bijak usul partai komunis indonesia iya,"['nikmat', 'bijak', 'usul', 'partai', 'komunis', 'indonesia', 'iya']"
Bagaimana jika orang Tionghoa diusir paksa dari Indonesia?,0,1,0,0,0,umpama orang cina usir paksa indonesia,"['umpama', 'orang', 'cina', 'usir', 'paksa', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,1,0,0,0,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['cina', 'babi', 'cina', 'maling', 'usir', 'cina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
Orang tolol udah tau kalo pemerintahan rezim komunis ini korup dan bisa pimpin sidang DPR pake URL cebong,0,1,0,0,0,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,"['sih', 'tolol', 'tau', 'perintah', 'rezim', 'komunis', 'bobrok', 'koruptor', 'pimpin', 'sidang', 'dewan', 'wakil', 'rakyat', 'paya', 'cebong', 'uniform', 'resource', 'locator']"
China sedang menghancurkan negara itu!! Usir saja!! Setuju??,0,1,0,0,0,cina usak bangsa usir tuju,"['cina', 'usak', 'bangsa', 'usir', 'tuju']"
Oleh rezim saat ini yang berada di bawah kendali Negara Komunis Tiongkok yang merupakan satu-satunya pelindung rezim anti-Islam (Jokowi),1,1,0,0,0,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'cina', 'komunis', 'patron', 'tunggal', 'rezim', 'anti', 'islam', 'jokowi']"
"PENGGUNA Tahukah anda, baunya sudah menjadi ciri khas buluq' miring ini",0,1,0,0,0,tau bau bau cir sipit buluk,"['tau', 'bau', 'bau', 'cir', 'sipit', 'buluk']"
Para pendukung capres yang gagal move on itu selalu sibuk mengurusi Aseng dan kabur membawa uang tunai Rp 35 triliun. Namun mereka tidak menyadari mengapa Aseng bisa kabur membawa uang sebanyak itu tanpa dukungan warga ASU. Tidak mungkin Aseng bisa melakukannya. Warga ASU hanya diam saja saat disuap. Mentalitas yang kurang bersemangat memang. URL,0,1,0,0,0,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,"['dukung', 'calon', 'presiden', 'gagal', 'pindah', 'on', 'sibuk', 'urus', 'asing', 'bawa', 'kabur', 'uang', 'rupiah', '35', 't', 'sadar', 'asing', 'kabur', 'bawa', 'uang', 'dukung', 'pribumi', 'anjing', 'mustahil', 'asing', 'pribumi', 'diam', 'sogok', 'mental', 'kacung', 'uniform', 'resource', 'locator']"
