Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
PENGGUNA PENGGUNA Para bajingan bodoh itu sudah terlihat bodoh dari awal dan bahkan lebih bodoh hahahah',1,0,0,0,0,kaum cebong kafir lihat dongok dungu haha,"['kaum', 'cebong', 'kafir', 'lihat', 'dongok', 'dungu', 'haha']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Lawan bicara saya tidak seintelektual Anda, dia tidak punya otak. Tentang kencing unta, saya mengakui hadis nabi dan itu sahih. Orang kafir seperti Anda pasti akan menolaknya, itu sebabnya Anda seorang ahlunnar.'",1,0,0,0,0,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,"['lawan', 'bicara', 'gue', 'intelek', 'kayak', 'otak', 'kencing', 'onta', 'gue', 'hadis', 'nabi', 'sahih', 'kafir', 'kayak', 'tolak', 'ahlun', 'nar']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Islam Nusantara, produk JIL, tengah gencar dipasarkan oleh antek-antek JIL.\n\nJIL yang anti Arab, justru pro Aseng!\n\nAlmarhum KH. Hasyim Muzadi mengatakan,",1,0,0,0,0,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'gencar', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"KAU TAK PERNAH BELAJAR AL-QURAN, BRO??? TAK HERAN MULUTMU SEPERTI ORANG KAFIR YANG JAHAT DAN HINA farhatabbaslaw'",1,0,1,0,0,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,"['al', 'alquran', 'ya', 'bang', 'mulut', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
PENGGUNA RT sangat membenci Muslim,1,0,0,0,0,benci umat islam,"['benci', 'umat', 'islam']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA Saya sarankan, tak usah banyak-banyak menghardik pencuri ayat, langsung saja ke pokok persoalan, kan kamu manusia... Yang tak sependapat denganmu teriak-teriak saja tentang kafir sesat, liberalis, pemuja dukun, bla bla... hatimu pasti puas..'",1,0,0,0,0,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,"['gue', 'saran', 'bacot', 'maling', 'ayat', 'langsung', 'to', 'the', 'point', 'orang', 'paham', 'riak', 'kafir', 'sesat', 'liberal', 'puja', 'dukun', 'bla', 'blaaa', 'hati', 'puas', 'deh']"
"USER Kroasia itu fanatik lho, kenapa kamu belajar dengan orang fanatik...apakah kamu sudah lupa tentang tanah surga??'",1,0,0,0,0,kroasia kafir tau ajar kafir lupa kapling sorga,"['kroasia', 'kafir', 'tau', 'ajar', 'kafir', 'lupa', 'kapling', 'sorga']"
"Semoga ada tindak lanjutnya!; ; Pelaporan ""penista agama"" Ade Armando akan dilakukan langsung oleh Ketua Umum FPI, KH. Shobri Lubis, ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Mungkin USER;",1,0,0,0,0,moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,"['moga', 'tindak', 'lapor', 'hadap', 'nista', 'agama', 'adek', 'armando', 'laku', 'langsung', 'ketua', 'front', 'bela', 'islam', 'kh', 'shobri', 'lubis', 'badan', 'reserse', 'kriminal', 'markas', 'polisi', 'republik', 'indonesia', 'gambir', 'jaka', 'a', 'pusat', 'selasa', '10', '4', '13', '00', 'indonesia', 'barat', 'perhaps']"
"USER Penjelasan saya tidak BUNUH, mohon TOLAK USER Apollinaris Darmawan Sebut Al Quran Kitab Sampah",1,0,0,0,0,fitnah sila ban apollinaris darmawan al alquran kitab sampah,"['fitnah', 'sila', 'ban', 'apollinaris', 'darmawan', 'al', 'alquran', 'kitab', 'sampah']"
Oleh rezim saat ini yang berada di bawah kendali Negara Komunis Tiongkok yang merupakan satu-satunya pelindung rezim anti-Islam (Jokowi),1,1,0,0,0,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'cina', 'komunis', 'patron', 'tunggal', 'rezim', 'anti', 'islam', 'jokowi']"
PENGGUNA PENGGUNA Orang-orang kafir Kristen selalu membuat masalah,1,0,0,0,0,kafir kristen ulah,"['kafir', 'kristen', 'ulah']"
"USER Bapak USER Mahfud MD telah berpaling dari Allah SWT Pemberang, demi bangsa mengajak semua untuk membuang Islam",1,0,0,0,0,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,"['mahfud', 'md', 'allah', 'subhanahu', 'wa', 'taala', 'berang', 'bangsa', 'ajak', 'buang', 'islam']"
"Sementara itu, USER melawan dakwah Islam dan membubarkan HTI..! Rakyat juga punya hak untuk menggulingkan Jokowi, sang pembangun citra!!",1,0,0,0,0,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,"['kerja', 'musuh', 'dakwah', 'islam', 'bubar', 'hati', 'rakyat', 'hak', 'lengser', 'jokowi', 'kodok', 'tukang', 'citra']"
Bubarkan HTI dan FPI. URL,1,0,0,0,0,bubar hati amp front bela islam uniform resource locator,"['bubar', 'hati', 'amp', 'front', 'bela', 'islam', 'uniform', 'resource', 'locator']"
"USER bagi kalian mungkin tidak apa-apa, tetapi bagi kami umat Islam ini sangat menghina. Setan perempuan telah menghina syariat kami.",1,0,0,0,0,muslim hina iblis betina nista syariat,"['muslim', 'hina', 'iblis', 'betina', 'nista', 'syariat']"
PENGGUNA RT bayi kafir budha teroris myanmar,1,1,0,0,0,baby kafir buddha teroris myanmar,"['baby', 'kafir', 'buddha', 'teroris', 'myanmar']"
USER CHRIST THE DOG ASSU JIAMPUT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK K,1,0,1,1,0,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,"['kristus', 'anjing', 'anjing', 'jembut', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'keparat', 'picek', 'tai', 'pejuh', 'siwuk', 'k']"
Umat ​​Buddha membunuh umat Muslim di Myanmar,1,0,0,0,0,buddha bunuh muslim myanmar,"['buddha', 'bunuh', 'muslim', 'myanmar']"
PENGGUNA Yahudi Bangke meminta tempat ibadah kepada orang Jerman,1,1,0,0,0,yahudi bangkai jerman ibadah,"['yahudi', 'bangkai', 'jerman', 'ibadah']"
PENGGUNA Namanya juga agama munafik...',1,0,0,0,0,nama agama munafik,"['nama', 'agama', 'munafik']"
"Berhentilah menjadi konsumen wisata haji dan umrah yang menipu, jadilah produsen wisata haji Indonesia",1,0,0,0,0,henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,"['henti', 'konsumen', 'wisata', 'haji', 'rumah', 'tipu', 'produsen', 'wisata', 'jiarah', 'indonesia']"
Adzan di TV yang menyebut Allah SWT bodoh dan biadab harus dihentikan dan acara pencemaran nama baik Allah tidak boleh dilanjutkan.,1,0,0,0,0,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,"['azan', 'televisi', 'panggil', 'manggil', 'allah', 'subhanahu', 'wa', 'taala', 'dungu', 'biadab', 'henti', 'acara', 'catut', 'nama', 'tuhan']"
"Anda hebat bicara cinta, Anda tetap pegang Al Quran sebagai pedoman hidup, Al Quran tidak bicara cinta tapi perang, bunuh, pemenggalan",1,0,0,0,0,hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,"['hebat', 'bicara', 'cinta', 'pegang', 'alquran', 'pegang', 'hidup', 'alquran', 'bicara', 'cinta', 'perang', 'bunuh', 'penggal']"
PENGGUNA Rev 1 : jangan pilih ulama yang DEKAT dengan ORANG KAFIR dan MUNAFIK,1,0,0,0,0,rev 1 pilih ulama kafir munafik,"['rev', '1', 'pilih', 'ulama', 'kafir', 'munafik']"
