Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
Gulingkan Jokowi Bajingan!!,1,1,1,0,0,0,0,0,1,0,0,1,lengser jokowi bangsat,"['lengser', 'jokowi', 'bangsat']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['cina', 'babi', 'cina', 'maling', 'usir', 'cina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
"Jangan salah, bukan Ahok... agenda utamanya adalah menggulingkan Jokowi.",1,0,1,0,0,0,0,0,1,0,0,1,salah target ahok agenda utama lengser jokowi,"['salah', 'target', 'ahok', 'agenda', 'utama', 'lengser', 'jokowi']"
Tiongkok menghancurkan negaranya!! Buang!! Pergi ke??,1,0,0,1,0,1,0,0,0,0,0,1,cina usak bangsa usir tuju,"['cina', 'usak', 'bangsa', 'usir', 'tuju']"
USER USER USER USER USER Bangke.. hilang!!!!',1,1,1,0,0,0,0,0,1,0,0,1,bangkai hajar,"['bangkai', 'hajar']"
USER USER USER USER Unta Yaman ini\n\nSaya akan mendeportasi Anda dalam waktu satu tahun,1,1,1,0,0,0,0,0,1,0,0,1,onta yaman nih gue depo asi,"['onta', 'yaman', 'nih', 'gue', 'depo', 'asi']"
"USER Pak USER Mahfud MD telah berpaling dari Allah SWT Pemberang, demi bangsa mengajak semua untuk membuang Islam",1,1,0,1,1,0,0,0,0,0,0,1,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,"['mahfud', 'md', 'allah', 'subhanahu', 'wa', 'taala', 'berang', 'bangsa', 'ajak', 'buang', 'islam']"
"APA ARTINYA ? Penduduk asli menyadari & melihat siapa mereka? KECUALI ANDA KOMUNIS/MISIONARIS CINA, abaikan tweet ini, usir orang Tionghoa Indonesia",1,0,0,1,0,1,0,0,0,0,0,1,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,"['a', 'inya', 'pribumi', 'sadar', 'lihat', 'kecuali', 'cina', 'komunis', 'misionaris', 'abai', 'twit', 'usir', 'cina', 'indonesia']"
Sementara USER menentang dakwah Islam & membubarkan HTI..! Rakyat juga berhak mencopot jokowok pembuat gambar tersebut!!,1,0,1,0,1,0,0,0,0,0,0,1,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,"['kerja', 'musuh', 'dakwah', 'islam', 'bubar', 'hati', 'rakyat', 'hak', 'lengser', 'jokowi', 'kodok', 'tukang', 'citra']"
Bubarkan HTI & FPI. URL,1,0,0,1,1,0,0,0,0,0,0,1,bubar hati amp front bela islam uniform resource locator,"['bubar', 'hati', 'amp', 'front', 'bela', 'islam', 'uniform', 'resource', 'locator']"
"Penjajahan di tanah Indonesia harus dihapuskan ya? Kita harus memberantas kolonialisme ekonomi, budaya dan pertanian Tiongkok. Demi Negara Kesatuan Republik Indonesia. Menyingkirkan...",1,0,0,1,0,1,0,0,0,0,0,1,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,"['jajah', 'bumi', 'indonesia', 'hapus', 'jajah', 'ekonomi', 'budaya', 'hasil', 'bumi', 'cina', 'basmi', 'negara', 'republik', 'indonesia', 'usir']"
Menempati Istana Negara!! Dan juga menjatuhkan Ucapan Selamat kepada Jokowi 2 Tahun USER,1,0,1,0,0,0,0,0,1,0,0,1,duduk istana negara lengser jokowi salam,"['duduk', 'istana', 'negara', 'lengser', 'jokowi', 'salam']"
PENGGUNA Hilangkan negara-negara dengan harga tetap,1,0,0,1,0,0,0,0,1,0,0,1,bubar negara republik indonesia harga mati,"['bubar', 'negara', 'republik', 'indonesia', 'harga', 'mati']"
Adzan di TV yang menyebut Allah SWT bodoh & biadab harus dihentikan dan acara yang mencemarkan nama Tuhan tidak boleh dilanjutkan.,1,1,0,1,1,0,0,0,0,0,0,1,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,"['azan', 'televisi', 'panggil', 'manggil', 'allah', 'subhanahu', 'wa', 'taala', 'dungu', 'biadab', 'henti', 'acara', 'catut', 'nama', 'tuhan']"
"Berhasil Penjarakan Ahok, Alumni 212 Pendukung Rizieq Bakal Tumbangkan Jokowi Usai Idul Fitri",1,0,1,0,0,0,0,0,1,0,0,1,hasil penjara ahok alumni 212 dukung rizieq lengser jokowi lebaran,"['hasil', 'penjara', 'ahok', 'alumni', '212', 'dukung', 'rizieq', 'lengser', 'jokowi', 'lebaran']"
"Fahri Hamzah: Kalau Saya Ketua Komisi Pemberantasan Korupsi (KPK), Saya Akan Bubarkan URL-nya",1,0,0,1,0,0,0,0,1,0,0,1,fahri hamzah presiden komisi berantas korupsi bubar uniform resource locator,"['fahri', 'hamzah', 'presiden', 'komisi', 'berantas', 'korupsi', 'bubar', 'uniform', 'resource', 'locator']"
RT USER Bubarkan DPR.. SAVEKPK,1,0,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat bubar save komisi berantas korupsi,"['bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'save', 'komisi', 'berantas', 'korupsi']"
Setuju Ahokers akan menggulingkan Prabon Jokowi daripada menghancurkan penjara tanpa alasan.. URL,1,0,1,0,0,0,0,0,1,0,0,1,tuju ahoker lengser prabowo jokowi hancur penjara karuan uniform resource locator,"['tuju', 'ahoker', 'lengser', 'prabowo', 'jokowi', 'hancur', 'penjara', 'karuan', 'uniform', 'resource', 'locator']"
"Kami balas di sini, bagaimana kami bisa mengusir Buddha"" USER: Kurang ajar, Etnis Muslim Rohingya Dikecualikan dari Data Sensus Penduduk Myanmar",1,0,0,1,1,0,0,0,0,0,0,1,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,"['balas', 'usir', 'buddha', 'ajar', 'etnis', 'muslim', 'rohingya', 'singkir', 'data', 'sensus', 'duduk', 'myanmar']"
"Yang kita pertahankan adalah Pancasila dan Kedaulatan Negara. Jika USER tidak mendukung, maka HAPUS saja!!... Sekarang ancamannya nyata!!.",1,0,1,0,0,0,0,0,1,0,0,1,bela pancasila daulat negara dukung lengser ancam nyata,"['bela', 'pancasila', 'daulat', 'negara', 'dukung', 'lengser', 'ancam', 'nyata']"
"Kalau tak mau mendengarkan ulama dan ngotot mengkriminalisasi ulama, copot saja Jokowi.",1,0,1,0,0,0,0,0,1,0,0,1,dengar ulama otot kriminalisasi ulama ya lengser jokowi,"['dengar', 'ulama', 'otot', 'kriminalisasi', 'ulama', 'ya', 'lengser', 'jokowi']"
Cina yang lain... Cina yang lain... Lebih baik dibuang saja ya? Itu merusak pekerjaannya.,1,0,0,1,0,1,0,0,0,0,0,1,cina cina usir ya rusak sih kerja,"['cina', 'cina', 'usir', 'ya', 'rusak', 'sih', 'kerja']"
"USER Ayo Bangsa Indonesia, Bersihkan Kelompok Etnis Tionghoa Ahok",1,0,0,1,0,1,0,0,0,0,0,1,ayo bangsa indonesia sih etnis cina ahok,"['ayo', 'bangsa', 'indonesia', 'sih', 'etnis', 'cina', 'ahok']"
"Jokowi sudah menyerah, saatnya gantikan Jokowi, gulingkan URL Qishosjokowi milik Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,jokowi serah ganti jokowi lengser jokowi kisas jokowi uniform resource locator,"['jokowi', 'serah', 'ganti', 'jokowi', 'lengser', 'jokowi', 'kisas', 'jokowi', 'uniform', 'resource', 'locator']"
USER Bubarkan saja Komisi Pemberantasan Korupsi agar para koruptor leluasa memperkaya diri di negeri ini,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi biar leluasa koruptor kaya negeri,"['bubar', 'komisi', 'berantas', 'korupsi', 'biar', 'leluasa', 'koruptor', 'kaya', 'negeri']"
"PENGGUNA Hanya rezim ini, orang seperti dia berani tampil di layar. Harap segera mengambil tindakan USER USER",1,0,1,0,0,0,0,0,1,0,0,1,rezim orang kayak berani tampil layar kaca mohon ambil tindak,"['rezim', 'orang', 'kayak', 'berani', 'tampil', 'layar', 'kaca', 'mohon', 'ambil', 'tindak']"
"Mengapa hanya warga Tiongkok non-Muslim yang dibantai? PENGGUNAnya juga orang China, usir juga.",1,0,0,1,1,1,0,0,0,0,0,1,cina non muslim bantai sih cina usir,"['cina', 'non', 'muslim', 'bantai', 'sih', 'cina', 'usir']"
Bubarkan saja DPR dan KPK... sama bodohnya,1,1,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat komisi berantas korupsi bodoh nya,"['bubar', 'dewan', 'wakil', 'rakyat', 'komisi', 'berantas', 'korupsi', 'bodoh', 'nya']"
PENGGUNA RT DPR tidak perlu dibubarkan,1,0,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat butuh,"['bubar', 'dewan', 'wakil', 'rakyat', 'butuh']"
PENGGUNA USER hancurkan pki. Mari kita dukung Prabowo untuk tahun 2019,1,0,0,1,0,1,0,0,0,0,0,1,ganyang partai komunis indonesia mari dukung prabowo 2019,"['ganyang', 'partai', 'komunis', 'indonesia', 'mari', 'dukung', 'prabowo', '2019']"
"USER Pak USER Membuang Islam memang menyakitkan, namun harus dilakukan demi kebaikan seluruh umat manusia.",1,0,0,1,1,0,0,0,0,0,0,1,buang islam sakit laku manusia,"['buang', 'islam', 'sakit', 'laku', 'manusia']"
RT USER USER Jadi dukung mereka yang korup! Bubarkan Komisi Pemberantasan Korupsi. Pantas saja... dari situlah isu PKI keluar. Sungguh orang yang korup,1,0,0,1,0,0,0,0,1,0,0,1,dukung koruptor bubar komisi berantas korupsi situ isu isu partai komunis indonesia dasar koruptor,"['dukung', 'koruptor', 'bubar', 'komisi', 'berantas', 'korupsi', 'situ', 'isu', 'isu', 'partai', 'komunis', 'indonesia', 'dasar', 'koruptor']"
RT USER Tidak masalah...semuanya baik-baik saja,1,0,0,1,0,0,0,0,1,0,0,1,ngawur sembarang panitia khusus hambat komisi berantas korupsi lidi teman teman koruptor bubar dewan wakil rakyat sarang koruptor,"['ngawur', 'sembarang', 'panitia', 'khusus', 'hambat', 'komisi', 'berantas', 'korupsi', 'lidi', 'teman', 'teman', 'koruptor', 'bubar', 'dewan', 'wakil', 'rakyat', 'sarang', 'koruptor']"
LARUTKAN ILLUNI UI,1,0,0,1,0,0,0,0,1,0,0,1,bubar ikat alumni universitas indonesia oi,"['bubar', 'ikat', 'alumni', 'universitas', 'indonesia', 'oi']"
Ahok harus mengakhiri hukuman penjara Ahok. penahanan Ahok,1,0,1,0,0,0,0,0,1,0,0,1,ahok tamat penjara ahok penjara ahok,"['ahok', 'tamat', 'penjara', 'ahok', 'penjara', 'ahok']"
"Apapun masalahnya, hasilnya tanggung jawab Presiden.. solusi dari solusi terbaik.. Singkirkan Jokowi...!!",1,0,1,0,0,0,0,0,1,0,0,1,nya muara nya tanggung presiden solusi solusi turun jokowi,"['nya', 'muara', 'nya', 'tanggung', 'presiden', 'solusi', 'solusi', 'turun', 'jokowi']"
Kapan Kita Mulai Menyingkirkan Jokowi? Ini sudah lebih buruk bagi PENGGUNA,1,0,1,0,0,0,0,0,1,0,0,1,lengser jokowi frop parah frop,"['lengser', 'jokowi', 'frop', 'parah', 'frop']"
Mari bersiap membubarkan URL PENGGUNA DPR,1,0,0,1,0,0,0,0,1,0,0,1,mari bubar dewan wakil rakyat uniform resource locator,"['mari', 'bubar', 'dewan', 'wakil', 'rakyat', 'uniform', 'resource', 'locator']"
"Blokir Jokowi Hebat, ternyata dunia maya sudah menggambarkannya, tinggal mewujudkannya di dunia nyata. HAPUS JOKOWI",1,0,1,0,0,0,0,0,1,0,0,1,blokir jokowi mantap nyata dunia maya gambar tinggal realisasi dunia nyata lengser jokowi,"['blokir', 'jokowi', 'mantap', 'nyata', 'dunia', 'maya', 'gambar', 'tinggal', 'realisasi', 'dunia', 'nyata', 'lengser', 'jokowi']"
"Poros Pendek: Koalisi Jokowi dengan Negara PKI, PKI Jokowi, Tumbangkan Jokowi....Memberi Saya Semangat",1,0,1,0,0,1,0,0,0,0,0,1,sumbu pendek jokowi koalisi negara partai komunis indonesia jokowi partai komunis indonesia lengser jokowi pusing hamba,"['sumbu', 'pendek', 'jokowi', 'koalisi', 'negara', 'partai', 'komunis', 'indonesia', 'jokowi', 'partai', 'komunis', 'indonesia', 'lengser', 'jokowi', 'pusing', 'hamba']"
TURUNKAN PKI DAN MENTERINYA!,1,0,0,1,0,1,0,0,0,0,0,1,ganyang partai komunis indonesia bese a antek antek,"['ganyang', 'partai', 'komunis', 'indonesia', 'bese', 'a', 'antek', 'antek']"
USER baru saja membubarkan Komisi Pemberantasan Korupsi Fud.. Jadikan orang itu tersangka sembarangan.. Anda kalah sekarang,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi fud orang sangka kalah nih,"['bubar', 'komisi', 'berantas', 'korupsi', 'fud', 'orang', 'sangka', 'kalah', 'nih']"
Saatnya usir penjajah Tiongkok dari Indonesia!! PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA,1,0,0,1,0,1,0,0,0,0,0,1,usir jajah cina bumi indonesia,"['usir', 'jajah', 'cina', 'bumi', 'indonesia']"
kita hanya butuh presiden baru yang tegas menumpas PKI dan anti PKI!,1,0,0,1,0,1,0,0,0,0,0,1,butuh presiden ganyang partai komunis indonesia anti partai komunis indonesia,"['butuh', 'presiden', 'ganyang', 'partai', 'komunis', 'indonesia', 'anti', 'partai', 'komunis', 'indonesia']"
Banyak cara yang dilakukan oleh sindikat Cina untuk menipu rakyat Indonesia... untuk mengusir orang Cina dari Indonesia,1,0,0,1,0,1,0,0,0,0,0,1,modus sindikat cina tipu uang rakyat indonesia usir cina indonesia,"['modus', 'sindikat', 'cina', 'tipu', 'uang', 'rakyat', 'indonesia', 'usir', 'cina', 'indonesia']"
USER Mengusir Tiongkok keluar dari negara USER USER USER USER USER,1,0,0,1,0,1,0,0,0,0,0,1,usir cina negara republik indonesia,"['usir', 'cina', 'negara', 'republik', 'indonesia']"
"Hukum Indonesia! Sementara itu, Jokowi menjadikan Indonesia sebagai kekuatan yang ingin dilawan oleh Jokowi! menggulingkan Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,indonesia negara hukum jokowi ubah indonesia negara kuasa makar jokowi lengser jokowi,"['indonesia', 'negara', 'hukum', 'jokowi', 'ubah', 'indonesia', 'negara', 'kuasa', 'makar', 'jokowi', 'lengser', 'jokowi']"
"Coba Pak Prabowo, sampai level OB perannya disebut, Jokowi tinggal klaim saja, cabut!!!",1,0,1,0,0,0,0,0,1,0,0,1,coba prabowo level office boy peran jokowi klaim turun uniform resource locator,"['coba', 'prabowo', 'level', 'office', 'boy', 'peran', 'jokowi', 'klaim', 'turun', 'uniform', 'resource', 'locator']"
ANJING TERBANG KE TANAH; BURUNG NARIO MEMILIKI SAYAP BIRU; SATUKAN SUARA ANDA SAAT PEMILU; KAMI MEMILIH PRESIDEN BARU; ; MEMANCING MALAM; IKAN DIMAKAN CAMPUR DENGAN Ketan; MARI KITA MENANGKAN PARTAI ISLAM; KAMI MENGHANCURKAN PARTAI SETAN! ; ; TUHAN YANG TERBESAR..,1,1,0,1,1,0,0,0,0,0,0,1,burung dara terbang hulu burung nuri sayap biru suara pilih pilih presiden mancing ikan malam ikan makan campur ketan ayo menang ai islam hancur ai setan allahu akbar,"['burung', 'dara', 'terbang', 'hulu', 'burung', 'nuri', 'sayap', 'biru', 'suara', 'pilih', 'pilih', 'presiden', 'mancing', 'ikan', 'malam', 'ikan', 'makan', 'campur', 'ketan', 'ayo', 'menang', 'ai', 'islam', 'hancur', 'ai', 'setan', 'allahu', 'akbar']"
USER Makanya Golkar Tuntut Setya Novanto Dipecat dari DPR dan Pembelanya USER USER Mundur Jadi Pemimpin Kalau Malu,1,0,0,1,0,0,0,0,1,0,0,1,tuntut golkar pecat setya novanto dewan wakil rakyat bela mundur pimpin malu,"['tuntut', 'golkar', 'pecat', 'setya', 'novanto', 'dewan', 'wakil', 'rakyat', 'bela', 'mundur', 'pimpin', 'malu']"
"Mari kita buang Alquran, kitab USER USER USER SAMPAH",1,1,0,1,1,0,0,0,0,0,0,1,ayo buang alquran kitab sampah,"['ayo', 'buang', 'alquran', 'kitab', 'sampah']"
PENGGUNA Tuan Barokalloh; Saya dukung dengan; #2019GantiPresiden; #2019GantiRezim; #HANCURKAN PARTAISETAN,1,0,0,1,0,0,0,0,1,0,0,1,barakallah dukung 2019 ganti presiden 2019 ganti rezim hancurkanpa aisetan,"['barakallah', 'dukung', '2019', 'ganti', 'presiden', '2019', 'ganti', 'rezim', 'hancurkanpa', 'aisetan']"
Ahok telah menjadi korban rezim ini. Jatuhkan Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,ahok korban rezim turun jokowi,"['ahok', 'korban', 'rezim', 'turun', 'jokowi']"
"PENGGUNA Pengkhianat NKRI adalah kelompok yang mengambil keputusan yang merugikan negara!! Tenggelamkan komplotan bermoncong babi, antek-antek PKI",1,1,0,1,0,1,0,0,0,0,0,1,khianat negara republik indonesia komplot putus rugi negara tenggelam komplot moncong babi antek partai komunis indonesia,"['khianat', 'negara', 'republik', 'indonesia', 'komplot', 'putus', 'rugi', 'negara', 'tenggelam', 'komplot', 'moncong', 'babi', 'antek', 'partai', 'komunis', 'indonesia']"
Hancurkan PKI sekuat tenaga,1,0,0,1,0,1,0,0,0,0,0,1,ganyang partai komunis indonesia kuat tenaga,"['ganyang', 'partai', 'komunis', 'indonesia', 'kuat', 'tenaga']"
Bubarkan Komisi Pemberantasan Korupsi...jika belum membuat SOP TAPING sesuai dengan putusan Mahkamah Konstitusi...,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi sop sadap sesuai putus mk,"['bubar', 'komisi', 'berantas', 'korupsi', 'sop', 'sadap', 'sesuai', 'putus', 'mk']"
Partai politik selalu mencari pembenaran; Mari kita tenggelamkan PDIP di semua tingkatan kepala pemerintahan; Kerugian negara adalah kerugian bangsa!; ; #2019GantiPresiden ; #2019Presiden Baru,1,0,0,1,0,0,0,0,1,0,0,1,partai politik cari ayo tenggelam partai demokrasi indonesia juang level kepala perintah rugi negara rugi bangsa 2019 ganti presiden 2019 presiden,"['partai', 'politik', 'cari', 'ayo', 'tenggelam', 'partai', 'demokrasi', 'indonesia', 'juang', 'level', 'kepala', 'perintah', 'rugi', 'negara', 'rugi', 'bangsa', '2019', 'ganti', 'presiden', '2019', 'presiden']"
Kelompok anggota DPR USER dibubarkan. URL,1,0,0,1,0,0,0,0,1,0,0,1,anggota dewan wakil rakyat grup bubar uniform resource locator,"['anggota', 'dewan', 'wakil', 'rakyat', 'grup', 'bubar', 'uniform', 'resource', 'locator']"
Indonesia terasa seperti Beijing. mengusir orang Cina,1,0,0,1,0,1,0,0,0,0,0,1,indonesia beijing usir cina,"['indonesia', 'beijing', 'usir', 'cina']"
