Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
USER USER Bajingan bodoh itu terlihat bodoh dari awal dan bahkan lebih bodoh lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,kaum cebong kafir lihat dongok dungu haha,"['kaum', 'cebong', 'kafir', 'lihat', 'dongok', 'dungu', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya bani taplak kawan kawan,"['ya', 'bani', 'taplak', 'kawan', 'kawan']"
"Jadi cowoknya pasti Gantle, kalau bukan Gantle namanya SISSY!'",1,1,0,1,0,0,0,1,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Ini adalah PENGGUNA yang pekerjaannya selalu tertunda! Setan!,1,1,0,1,0,0,0,0,1,0,1,0,sih kerja delay mulu setan,"['sih', 'kerja', 'delay', 'mulu', 'setan']"
RT USER USER USER PKI hanya tampil menjelang pilkada dan pilpres karena digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
"USER USER USER USER USER USER USER Islam Nusantara, produk JIL dipasarkan secara agresif oleh antek-antek JIL.\n\nWalaupun JIL anti-Arab, tapi pro-Aseng!\n\nAlmarhum KH. Hasyim Muzadi berkata,",1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'gencar', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"""Staf penjaga sedang berlatih, menurutku aku terlihat kotor, hanya kaos dan sepatu datar, aku meminta bajingan itu untuk mengevaluasinya, aku terlalu malas untuk membelinya, aku berlari ke bawah sinar matahari.""",1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,"['pegawai', 'guardian', 'training', 'kayak', 'mentang', 'mentang', 'gue', 'kayak', 'gembel', 'kaos', 'flat', 'shoes', 'dijutekin', 'bangsat', 'malas', 'beli', 'kabur', 'gue', 'matahari']"
Baru kali ini Anjir melihat orang bodoh mau debat pilkada. Tugasnya adalah menyerang karakter tersebut. Malu sekali kamu sudah menjatuhkan Silvy dan Agus. #JKTPilkadaFinalDebate,1,1,0,1,0,0,0,0,1,0,1,0,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,"['anjir', 'kali', 'lihat', 'orang', 'bego', 'debat', 'pilih', 'kepala', 'daerah', 'kerja', 'serang', 'karakter', 'kecewa', 'on', 'empok', 'silvy', 'and', 'agus', 'debat', 'final', 'pilih', 'kepala', 'daerah', 'jakarta']"
"USER USER BTP yang terbaik,,,abaikan otak kecilmu...",1,1,0,1,0,0,0,0,1,0,1,0,ahok the best abai kaum kampret otak micin,"['ahok', 'the', 'best', 'abai', 'kaum', 'kampret', 'otak', 'micin']"
PENGGUNA RT sangat membenci umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,benci umat islam,"['benci', 'umat', 'islam']"
USER Kamu sangat rendahan',1,1,0,1,0,0,0,0,1,0,1,0,wkwk bani lowo,"['wkwk', 'bani', 'lowo']"
tapi tetap menikmati kebijakan-kebijakan yang dulu diajukan PKI... lho...,1,0,0,1,0,1,0,0,0,0,1,0,nikmat bijak usul partai komunis indonesia iya,"['nikmat', 'bijak', 'usul', 'partai', 'komunis', 'indonesia', 'iya']"
Misalnya saja bagaimana jika orang Tionghoa diusir paksa dari Indonesia?,1,0,0,1,0,1,0,0,0,0,1,0,umpama orang cina usir paksa indonesia,"['umpama', 'orang', 'cina', 'usir', 'paksa', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['cina', 'babi', 'cina', 'maling', 'usir', 'cina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
USER USER Para idiot adalah penipu yang menyedot aparat yang kedapatan memindahkan orang yang digaji menggunakan beras kemasan. Propaganda nasi kemasan selalu gagal.',1,1,0,1,0,0,0,0,1,0,1,0,goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,"['goblok', 'bani', 'cebong', 'tukang', 'tipu', 'jilat', 'kuasa', 'gera', 'bayar', 'pakai', 'nasi', 'bungkus', 'propaganda', 'nasi', 'bungkus', 'gagal']"
Pendaftaran Capres #Pilpres 2019 Baru Dibuka Agustus 2018... Norma Apa yang Masih Belum Dipahami Politisi PDIP? #2019Ganti Presiden!!,1,0,0,1,0,0,0,0,1,0,1,0,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,"['daftar', 'calon', 'presiden', 'pilih', 'presiden', '2019', 'buka', 'agustus', '2018', 'normatif', 'politikus', 'partai', 'demokrasi', 'indonesia', 'juang', 'paham', '2019', 'ganti', 'presiden']"
Tiongkok menghancurkan negaranya!! Buang!! Menuju??,1,0,0,1,0,1,0,0,0,0,0,1,cina usak bangsa usir tuju,"['cina', 'usak', 'bangsa', 'usir', 'tuju']"
"USER Kroasia itu fanatik lho, kenapa belajar begitu fanatik...apakah kamu sudah lupa dengan negeri surga??'",1,1,0,1,1,0,0,0,0,0,1,0,kroasia kafir tau ajar kafir lupa kapling sorga,"['kroasia', 'kafir', 'tau', 'ajar', 'kafir', 'lupa', 'kapling', 'sorga']"
USER USER USER .\nOrang yang minum terlalu banyak akan mati',1,0,0,1,0,0,0,0,1,0,1,0,onta mati minum,"['onta', 'mati', 'minum']"
PENGGUNA KPK bukan hanya kurang terampil di era ini...tapi era ini juga berkomitmen dalam pemberantasan korupsi tidak seperti di era Pak Sby....,1,0,0,1,0,0,0,0,1,0,1,0,be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,"['be', 'aji', 'nya', 'komisi', 'berantas', 'korupsi', 'era', 'era', 'komitmen', 'berantas', 'korupsi', 'surat', 'pemberitahuan', 'era', 'susilo', 'bambang', 'yudhoyono']"
PENGGUNA RT: Admin bodoh di pesta bodoh\nPesta Bodoh untuk Orang Bodoh',1,1,0,1,0,0,0,0,1,0,1,0,admin tolol ai tolol ai tolol orang tolol,"['admin', 'tolol', 'ai', 'tolol', 'ai', 'tolol', 'orang', 'tolol']"
Kabinet berantakan \nPelanggar persatuan hanya ada di rezim ini',1,0,0,1,0,0,0,0,1,0,1,0,kabinet beranta pecah belah rezim,"['kabinet', 'beranta', 'pecah', 'belah', 'rezim']"
"#PDIPerjuanganMenang Dengan menekan perusahaan tambang yang target proyeknya tidak mungkin tercapai, lalu melelangnya dengan harga murah ke antek China. NTB adalah salah satu contohnya. PDIP ingin menang? Dasar bajingan'",1,1,0,1,0,0,0,0,1,0,1,0,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,"['partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'tekan', 'usaha', 'tambang', 'target', 'proyek', 'impossible', 'lelang', 'murah', 'antek', 'cina', 'ntb', 'contoh', 'partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'dasar', 'bajing']"
PENGGUNA umum PENGGUNA &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,0,1,0,0,0,0,1,0,1,0,umuh persib persib kunyuk,"['umuh', 'persib', 'persib', 'kunyuk']"
"Pemberitaan tentang Saracen dibingkai seolah-olah mereka adalah kubu Prabowo dan Anies-Sandi. Faktanya, media menyoroti sakit hati katak dan berudu. *eh",1,1,0,1,0,0,0,0,1,0,1,0,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,"['berita', 'saracen', 'diframing', 'katak', 'tim', 'prabowo', 'anies', 'sandi', 'media', 'tumpah', 'sakit', 'hati', 'katak', 'cebong', 'ehe']"
"PENGGUNA TAHUN 2019 Masyarakat makan ASPAL dan BETON; ini merupakan solusi jitu untuk mengurangi kemiskinan; ; SKILL HANYA ADA 1, CHEATER!!!; Aku anak yang seperti itu, aku bodoh dan aku kurang beruntung. Plonga plongo menghasilkan optimisme yang berlebihan; ; #2019Ganti Presiden#",1,1,0,1,0,0,0,0,1,0,1,0,2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden,"['2019', 'rakyat', 'makan', 'aspal', 'beton', 'solusi', 'jitu', 'miskin', 'ahli', 'cebong', '1', 'tukang', 'tipu', 'cebong', 'goblok', 'ketulungan', 'plonga', 'plongo', 'akibat', 'optimisme', '2019', 'ganti', 'presiden']"
"USER Kemarin Dihujat, Kini Berharap Bajingan Kamprey'",1,1,0,1,0,0,0,0,1,0,1,0,kemarin hujat harap dasar bani kampret,"['kemarin', 'hujat', 'harap', 'dasar', 'bani', 'kampret']"
