Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
USER USER USER BANCI BISA MALU SAYA TIDAK BISA MENJAWAB PERTANYAAN KITA DARI 2 HARI YANG LALU.... NYUNGSEP KOE USER URL,0,0,0,1,0,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'kaleng', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
"USER Bu guru, saya suka menjadi guru yang suka bercanda atau esde.\nSaya rasa saya suka menjadi guru yang kalah.'",0,0,0,1,0,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,"['bu', 'guru', 'enak', 'jablay', 'guru', 'sekolah', 'dasar', 'sih', 'kayak', 'nikmat', 'pecun', 'guru']"
"Jadi cowoknya pasti Gantle, kalau bukan Gantle namanya BANCI!'",0,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Pernahkah anda belajar mengaji gan??? MULUT YANG INDAH MULUTNYA SEPERTI ORANG YANG TAK TERBATAS farhatabbaslaw',1,0,1,0,0,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,"['al', 'alquran', 'ya', 'bang', 'mulut', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
"USER Awaasss... Jangan sampai berita itu sampai ke telinga Anda! Nantinya akan sulit mencari kosa kata tersebut. Kalau sekedar ngomong, kamu julingkan mata, bibirmu menoleh ke samping, suaramu keluar seperti kentut… “politik jaman sekarang itu kotor!”. Kalau tau caranya.. Plng Sambil ky nhn ngeden..""bodoh!"". \xf0\x9f\x98\x8b",0,0,1,0,0,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,"['awaasss', 'berita', 'saudara', 'gerung', 'susah', 'cari', 'kosakata', 'bocor', 'picing', 'mata', 'bibir', 'monyong', 'samping', 'suara', 'ky', 'nhn', 'kentut', 'politik', 'kotor', 'zaman', 'b', 'pulang', 'ky', 'nhn', 'ngeden', 'dungu']"
"PENGGUNA sudah terbiasa dengan hal itu. Aku kpoper tapi saat aku ngobrol dengan teman-temanku, idolaku adalah seorang homo banci'",0,0,0,1,0,kali gue gemar korea pop omong teman teman gue idol gue banci homo,"['kali', 'gue', 'gemar', 'korea', 'pop', 'omong', 'teman', 'teman', 'gue', 'idol', 'gue', 'banci', 'homo']"
"PENGGUNA RT: Homo!!!\nHati-hati dengan anak kita, terutama di kamar mandi anak laki-laki, jangan tinggalkan mereka sendirian! URL",0,0,0,1,0,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,"['bajing', 'homo', 'hati', 'hati', 'hadap', 'anak', 'anak', 'utama', 'kamar', 'mandi', 'laki', 'laki', 'biar', 'uniform', 'resource', 'locator']"
Apakah kamu transgender atau anjing apa :( URL,0,0,0,1,0,transgender anjing uniform resource locator,"['transgender', 'anjing', 'uniform', 'resource', 'locator']"
PENGGUNA Anak pecundang...tak jauh dari hobi zina.. haha',0,0,0,1,0,anak pecun hobi zina haha,"['anak', 'pecun', 'hobi', 'zina', 'haha']"
"USER USER, benarkah Menteri Soeharto itu gay?'",0,0,0,1,0,nya menteri suha o homo,"['nya', 'menteri', 'suha', 'o', 'homo']"
