Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
RT USER USER USER PKI hanya muncul menjelang pemilihan kepala daerah dan presiden karena digoreng sampai gosong.,0,1,0,0,0,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
"USER USER USER ""Provokasi Mayat, Politisasi Agama"" Jadi Penyebab Kekalahan Pilkada DKI, Begitulah Cebong Menggambarkan Kekalahan Tuannya.; FYI ahog tidak pernah mengikuti pemilu apa pun (kecuali menjadi wakil) dan dia bukan etnis mayoritas",0,1,0,0,0,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,"['provokasi', 'mayat', 'politisasi', 'agama', 'kalah', 'pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'cebong', 'deskripsi', 'kalah', 'junjung', 'for', 'your', 'information', 'ahok', 'pilih', 'camat', 'wakil', 'etnis', 'mayoritas']"
tapi tetap menikmati kebijakan-kebijakan yang sebelumnya diajukan oleh PKI... lho...,0,1,0,0,0,nikmat bijak usul partai komunis indonesia iya,"['nikmat', 'bijak', 'usul', 'partai', 'komunis', 'indonesia', 'iya']"
Bagaimana jika orang Tionghoa diusir paksa dari Indonesia?,0,1,0,0,0,umpama orang cina usir paksa indonesia,"['umpama', 'orang', 'cina', 'usir', 'paksa', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,1,0,0,0,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['cina', 'babi', 'cina', 'maling', 'usir', 'cina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
Orang bodoh sudah tahu kalau pemerintahan rezim komunis ini korup dan bisa memimpin sidang DPR menggunakan URL cebong,0,1,0,0,0,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,"['sih', 'tolol', 'tau', 'perintah', 'rezim', 'komunis', 'bobrok', 'koruptor', 'pimpin', 'sidang', 'dewan', 'wakil', 'rakyat', 'paya', 'cebong', 'uniform', 'resource', 'locator']"
Tiongkok sedang menghancurkan negaranya!! Membuang!! Tuju??,0,1,0,0,0,cina usak bangsa usir tuju,"['cina', 'usak', 'bangsa', 'usir', 'tuju']"
Oleh rezim saat ini yang berada di bawah kendali Negara Komunis Tiongkok yang merupakan satu-satunya pelindung rezim anti-Islam (Jokowi),1,1,0,0,0,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'cina', 'komunis', 'patron', 'tunggal', 'rezim', 'anti', 'islam', 'jokowi']"
"USER Tahukah Anda, baunya sudah menjadi ciri khas buluq' sipit ini",0,1,0,0,0,tau bau bau cir sipit buluk,"['tau', 'bau', 'bau', 'cir', 'sipit', 'buluk']"
Pendukung capres yang gagal move on selalu sibuk berhadapan dengan Aseng dan kabur membawa uang Rp. 35 triliun tunai. Namun mereka tak sadar kenapa Aseng bisa kabur dengan uang sebanyak itu tanpa dukungan warga asli ASU. Tidak mungkin Aseng melakukannya. Pribumi hanya diam saja saat disuap. Mentalitas yang tidak bersemangat memang. URL,0,1,0,0,0,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,"['dukung', 'calon', 'presiden', 'gagal', 'pindah', 'on', 'sibuk', 'urus', 'asing', 'bawa', 'kabur', 'uang', 'rupiah', '35', 't', 'sadar', 'asing', 'kabur', 'bawa', 'uang', 'dukung', 'pribumi', 'anjing', 'mustahil', 'asing', 'pribumi', 'diam', 'sogok', 'mental', 'kacung', 'uniform', 'resource', 'locator']"
APA ARTINYA? Penduduk asli menyadari & melihat siapa mereka? KECUALI ANDA KOMUNIS / MISIONARIS CINA abaikan tweet ini usir Cina Indonesia,0,1,0,0,0,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,"['a', 'inya', 'pribumi', 'sadar', 'lihat', 'kecuali', 'cina', 'komunis', 'misionaris', 'abai', 'twit', 'usir', 'cina', 'indonesia']"
RT USER Tapi ingat. Jangan sampai China juga memperkenalkan wisata Haram ke Indonesia hahaha,0,1,0,0,0,ya cina kenal wisata haram indonesia haha,"['ya', 'cina', 'kenal', 'wisata', 'haram', 'indonesia', 'haha']"
Bagaimana Anda bisa menggunakan pekerja Tiongkok? Masyarakatnya sendiri banyak yang menganggur. Sungguh rezim katak!,0,1,0,0,0,pakai buruh cina rakyat anggur dasar rejim kodok,"['pakai', 'buruh', 'cina', 'rakyat', 'anggur', 'dasar', 'rejim', 'kodok']"
"Kolonisasi di tanah Indonesia harus dihapuskan ya? Kita harus memberantas penjajahan ekonomi, budaya dan pertanian yang dilakukan Tiongkok. Demi Negara Kesatuan Republik Indonesia. Menyingkirkan...",0,1,0,0,0,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,"['jajah', 'bumi', 'indonesia', 'hapus', 'jajah', 'ekonomi', 'budaya', 'hasil', 'bumi', 'cina', 'basmi', 'negara', 'republik', 'indonesia', 'usir']"
RT USER bayi kafir Budha teroris Myanmar,1,1,0,0,0,baby kafir buddha teroris myanmar,"['baby', 'kafir', 'buddha', 'teroris', 'myanmar']"
"Indonesia belum merdeka, Indonesia masih dijajah oleh Cina!!! URL Takbir Allauakbar",0,1,0,0,0,indonesia merdeka indonesia jajah orang cina takbir allahu akbar uniform resource locator,"['indonesia', 'merdeka', 'indonesia', 'jajah', 'orang', 'cina', 'takbir', 'allahu', 'akbar', 'uniform', 'resource', 'locator']"
PENGGUNA Yahudi meminta tempat ibadah kepada Jerman',1,1,0,0,0,yahudi bangkai jerman ibadah,"['yahudi', 'bangkai', 'jerman', 'ibadah']"
Tipuan PENGGUNA...; Katak...; Kadal monitor...; meroket...; sekop...; Bajingan...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019Presiden Baru; ; #2019TenggelamkanJokowiKeSungai Siak,0,1,0,0,0,hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak,"['hoaks', 'kodok', 'biawak', 'roket', 'sekop', 'bangsat', 'karbitan', 'munafik', '2019', 'ganti', 'presiden', '2019', 'presiden', '2019', 'tenggelam', 'jokowi', 'sungai', 'siak']"
"USER Ingat baik-baik apa yang dikatakan Royson, ""Jokowi adalah antek saya..!""\n\nMungkin itulah alasan mendasar mengapa rezim ini sepertinya sengaja masuk ke dalam ""Jebakan Utang"" KOMUNIS CINA!\n\nJadi, wajib bagi #2019Ganti Presiden !'",0,1,0,0,0,sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina sok wajib 2019 ganti presiden,"['sih', 'royson', 'jokowi', 'kacung', 'gue', 'alas', 'fundamental', 'rezim', 'sepe', 'i', 'sengaja', 'masuk', 'debt', 'trap', 'komunis', 'cina', 'sok', 'wajib', '2019', 'ganti', 'presiden']"
WASPADALAH TERHADAP KOMUNIS CINA DI INDONESIA!,0,1,0,0,0,waspada cina komunis indonesia,"['waspada', 'cina', 'komunis', 'indonesia']"
"Tiongkok, apa hak Anda untuk melarangnya?",0,1,0,0,0,cina hak larang,"['cina', 'hak', 'larang']"
USER USER USER USER USER USER USER USER USER USER USER Mengapa Komunis berlatar belakang PKI? Kecoa makan kecoa kan?',0,1,0,0,0,komunis abad partai komunis indonesia kecoak makan kecoak,"['komunis', 'abad', 'partai', 'komunis', 'indonesia', 'kecoak', 'makan', 'kecoak']"
Kalahkan Ndan... hancurkan URL PKI,0,1,0,0,0,hajar ganyang partai komunis indonesia uniform resource locator,"['hajar', 'ganyang', 'partai', 'komunis', 'indonesia', 'uniform', 'resource', 'locator']"
"USER Mungkin masih banyak orang Tionghoa yang lebih Pancasialis dari Wong Jowo, asal jangan dibeberkan, contoh nyatanya adalah Pak Kwik, Ekonom dan Ustadz Felix Siauw \xf0\x9f\x98\x85'",0,1,0,0,0,masyarakat tionghoa pancasialis orang jawa ekspos contoh nyata kwik ekonom ustaz felix siauw,"['masyarakat', 'tionghoa', 'pancasialis', 'orang', 'jawa', 'ekspos', 'contoh', 'nyata', 'kwik', 'ekonom', 'ustaz', 'felix', 'siauw']"
Cina lagi.. Cina lagi.. Sebaiknya usir saja ya? itu merusak pekerjaannya,0,1,0,0,0,cina cina usir ya rusak sih kerja,"['cina', 'cina', 'usir', 'ya', 'rusak', 'sih', 'kerja']"
USER Ayo bangsa Indonesia bersihkan etnis Tionghoa Ahok,0,1,0,0,0,ayo bangsa indonesia sih etnis cina ahok,"['ayo', 'bangsa', 'indonesia', 'sih', 'etnis', 'cina', 'ahok']"
