Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
- ketika semua pria berusaha menarik perhatianku. Anda kemudian meremehkan perhatian yang saya berikan secara khusus kepada Anda. Anda pada dasarnya idiot!!! ! !',1,1,1,0,0,0,0,0,1,1,0,0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,"['cowok', 'usaha', 'lacak', 'perhati', 'gue', 'lantas', 'remeh', 'perhati', 'gue', 'kasih', 'khusus', 'basic', 'cowok', 'bego']"
USER USER Bajingan bodoh itu terlihat bodoh dari awal dan bahkan lebih bodoh lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,kaum cebong kafir lihat dongok dungu haha,"['kaum', 'cebong', 'kafir', 'lihat', 'dongok', 'dungu', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya bani taplak kawan kawan,"['ya', 'bani', 'taplak', 'kawan', 'kawan']"
"Setidaknya aku punya jari tengah untukmu, sebelum aku mengukur nyalimu dengan bajinganmu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,gue jari gue ukur nyali bacot,"['gue', 'jari', 'gue', 'ukur', 'nyali', 'bacot']"
PENGGUNA PENGGUNA PENGGUNA BANCI BISA MALU SAYA TAK BISA MENJAWAB PERTANYAAN KAMI DARI 2 HARI YANG LALU.... NYUNGSEP KOE PENGGUNA URL,1,1,1,0,0,0,0,1,0,1,0,0,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'kaleng', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
Pelaku kerusuhan 98 Prabowo S ingin menggulingkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,"['aktor', 'huru', 'hara', '98', 'prabowo', 'si', 'lengser', 'perintah', 'jokowi', 'nyata']"
"USER Bu guru, saya suka menjadi guru yang suka bercanda atau esde.\nSaya rasa saya suka menjadi guru yang kalah.'",1,1,1,0,0,0,0,1,0,1,0,0,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,"['bu', 'guru', 'enak', 'jablay', 'guru', 'sekolah', 'dasar', 'sih', 'kayak', 'nikmat', 'pecun', 'guru']"
"USER USER USER USER USER USER Orang yang saya ajak bicara tidak punya pikiran seperti Anda tidak punya otak. Mengenai buang air kecil unta, saya mengetahui hadis Nabi dan sah. Kalau kamu kafir pasti kamu menolaknya, makanya kamu termasuk ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,"['lawan', 'bicara', 'gue', 'intelek', 'kayak', 'otak', 'kencing', 'onta', 'gue', 'hadis', 'nabi', 'sahih', 'kafir', 'kayak', 'tolak', 'ahlun', 'nar']"
"Jadi cowok itu harus Gantle, kalau bukan Gantle, disebut BANCI!'",1,1,0,1,0,0,0,1,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Inilah USER yang pekerjaannya selalu tertunda! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,sih kerja delay mulu setan,"['sih', 'kerja', 'delay', 'mulu', 'setan']"
RT USER USER USER PKI hanya muncul menjelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
USER USER Makanya nenek kaget melihat berudu selalu berbohong,1,1,1,0,0,0,0,0,1,1,0,0,nenek nenek heran cebong bohong,"['nenek', 'nenek', 'heran', 'cebong', 'bohong']"
"USER USER USER USER USER USER USER Islam Nusantara, produk JIL dipasarkan secara agresif oleh antek-antek JIL.\n\nMeski JIL anti-Arab, namun pro-Aseng!\n\nAlmarhum KH. Hasyim Muzadi berkata,",1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'gencar', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"“Staf keamanan sedang berlatih, saya terlihat kotor, hanya kaos oblong dan sepatu datar, saya ingin dihakimi oleh bajingan itu, saya terlalu malas untuk membelinya, saya kena sinar matahari.”",1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,"['pegawai', 'guardian', 'training', 'kayak', 'mentang', 'mentang', 'gue', 'kayak', 'gembel', 'kaos', 'flat', 'shoes', 'dijutekin', 'bangsat', 'malas', 'beli', 'kabur', 'gue', 'matahari']"
Pernahkah anda belajar mengaji gan??? MULUT YANG INDAH MULUTNYA SEPERTI ORANG YANG TAK TERBATAS farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,"['al', 'alquran', 'ya', 'bang', 'mulut', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
Baru kali ini Anjir melihat orang bodoh mau debat pilkada. Tugasnya adalah menyerang karakter tersebut. Malu sekali kamu sudah menjatuhkan Silvy dan Agus. #JKTPilkadaFinalDebate,1,1,0,1,0,0,0,0,1,0,1,0,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,"['anjir', 'kali', 'lihat', 'orang', 'bego', 'debat', 'pilih', 'kepala', 'daerah', 'kerja', 'serang', 'karakter', 'kecewa', 'on', 'empok', 'silvy', 'and', 'agus', 'debat', 'final', 'pilih', 'kepala', 'daerah', 'jakarta']"
KAMU TERPENDIDIKAN TINGGI TAPI BODOH....TIDAK ADA LARANGAN MEMBAWA AGAMA.. BIARKAN ORANG ISLAM YANG AHOK MEMBAYAR JANGAN MEMILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,"['didik', 'bodoh', 'larang', 'bawa', 'agama', 'biar', 'orang', 'islam', 'bayar', 'ahok', 'sadar', 'pilih', 'ahok', 'gila']"
"USER USER BTP yang terbaik,,,abaikan otak kecilmu...",1,1,0,1,0,0,0,0,1,0,1,0,ahok the best abai kaum kampret otak micin,"['ahok', 'the', 'best', 'abai', 'kaum', 'kampret', 'otak', 'micin']"
"USER USER, cangkang otaknya tidak perlu diservis. Padahal lawan-lawannya semakin bodoh. Dan jika tidak, dia tidak akan makan. Ha ha'",1,1,1,0,0,0,0,0,1,1,0,0,sih otak tempurung laden lawan dungu makan hehe,"['sih', 'otak', 'tempurung', 'laden', 'lawan', 'dungu', 'makan', 'hehe']"
