Tweet,HS_Individual,HS_Group,Cleaned_Tweet,Tweet_list
USER USER Bajingan bodoh itu dari awal sudah terlihat bodoh dan bahkan lebih bodoh lagi hahahah',0,1,bajing bodoh lihat bodoh bodoh haha,"['bajing', 'bodoh', 'lihat', 'bodoh', 'bodoh', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',0,1,ya taplak meja bani kawan kawan,"['ya', 'taplak', 'meja', 'bani', 'kawan', 'kawan']"
"Jadi cowoknya harus Gantle, kalau nggak Gantle, itu namanya BANCI!'",0,1,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Inilah USER yang pekerjaannya selalu tertunda! Setan!',0,1,kerja te unda setan,"['kerja', 'te', 'unda', 'setan']"
RT USER USER USER PKI hanya muncul menjelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,0,1,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
"USER USER USER USER USER USER USER USER Islam Nusantara, produk JIL, dipasarkan secara agresif oleh antek-antek JIL.\n\nMeskipun JIL anti-Arab, namun pro-Aseng!\n\nAlmarhum KH. Hasyim Muzadi berkata,",0,1,islam nusantara produk jil pasar agresif antek antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'agresif', 'antek', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"“Staf penjaga lagi latihan, kayaknya aku kelihatan kotor, cuma kaos dan sepatu flat, aku minta dinilai oleh bajingan itu, aku malas membelinya, aku lari ke dalam matahari.""",0,1,staf jaga latih kayak lihat kotor kaos sepatu flat nilai bajing malas bel lari matahari,"['staf', 'jaga', 'latih', 'kayak', 'lihat', 'kotor', 'kaos', 'sepatu', 'flat', 'nilai', 'bajing', 'malas', 'bel', 'lari', 'matahari']"
Baru kali ini Anjir melihat orang bodoh mau debat pilkada. Tugasnya adalah menyerang karakter tersebut. Malu kamu mpok silvy dan agus. #JKTPilkadaFinalDebate,0,1,kali anjir lihat orang bodoh debat pilih kepala daerah tugas serang karakter malu empok silvy agus jktpilkadafinaldebate,"['kali', 'anjir', 'lihat', 'orang', 'bodoh', 'debat', 'pilih', 'kepala', 'daerah', 'tugas', 'serang', 'karakter', 'malu', 'empok', 'silvy', 'agus', 'jktpilkadafinaldebate']"
"USER USER BTP yang terbaik,,,abaikan otak kecil...",0,1,ahok abai otak,"['ahok', 'abai', 'otak']"
PENGGUNA RT sangat membenci Muslim,0,1,benci muslim,"['benci', 'muslim']"
PENGGUNA Loh rendahan',0,1,rendah,['rendah']
tapi tetap menikmati kebijakan-kebijakan yang sebelumnya diajukan oleh PKI... lho...,0,1,nikmat bijak bijak aju partai komunis indonesia lo,"['nikmat', 'bijak', 'bijak', 'aju', 'partai', 'komunis', 'indonesia', 'lo']"
"Misalnya, bagaimana jika orang Tionghoa diusir paksa dari Indonesia?",0,1,orang tionghoa usir paksa indonesia,"['orang', 'tionghoa', 'usir', 'paksa', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
USER USER Para idiot adalah penipu yang menjilat pihak berwenang yang kedapatan memindahkan orang-orang yang dibayar dengan menggunakan beras kemasan. Propaganda nasi kemasan selalu gagal.',0,1,idiot tipu jilat wenang pindah orang orang bayar beras kemas propaganda nasi kemas gagal,"['idiot', 'tipu', 'jilat', 'wenang', 'pindah', 'orang', 'orang', 'bayar', 'beras', 'kemas', 'propaganda', 'nasi', 'kemas', 'gagal']"
Pendaftaran calon presiden #Pilpres 2019 baru dibuka Agustus 2018... normatifnya apa yang masih belum dipahami oleh politisi PDIP? #2019Ganti Presiden!!,0,1,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif paham politis partai demokrasi indonesia juang 2019 ganti presiden presiden,"['daftar', 'calon', 'presiden', 'pilih', 'presiden', '2019', 'buka', 'agustus', '2018', 'normatif', 'paham', 'politis', 'partai', 'demokrasi', 'indonesia', 'juang', '2019', 'ganti', 'presiden', 'presiden']"
Tiongkok sedang menghancurkan negaranya!! Membuang!! Tuju??,0,1,tiongkok hancur negara buang tuju,"['tiongkok', 'hancur', 'negara', 'buang', 'tuju']"
"USER Kroasia itu fanatik lho, kenapa belajar dengan fanatik...apakah kamu sudah lupa dengan negeri surga??'",0,1,kroasia fanatik lo ajar fanatik lupa negeri surga,"['kroasia', 'fanatik', 'lo', 'ajar', 'fanatik', 'lupa', 'negeri', 'surga']"
USER USER USER .\nOrang yang minum terlalu banyak akan mati',0,1,orang minum mati,"['orang', 'minum', 'mati']"
PENGGUNA KPK bukan hanya kurang terampil di era ini...tapi era ini juga berkomitmen dalam pemberantasan korupsi tidak seperti di era Pak Sby....,0,1,komisi berantas korupsi terampil era era komitmen berantas korupsi sepe i era susilo bambang yudhoyono,"['komisi', 'berantas', 'korupsi', 'terampil', 'era', 'era', 'komitmen', 'berantas', 'korupsi', 'sepe', 'i', 'era', 'susilo', 'bambang', 'yudhoyono']"
PENGGUNA RT: Admin bodoh di pesta bodoh\nPesta Bodoh untuk Orang Bodoh',0,1,admin bodoh pesta bodoh pesta bodoh orang bodoh,"['admin', 'bodoh', 'pesta', 'bodoh', 'pesta', 'bodoh', 'orang', 'bodoh']"
Kabinet berantakan \nPemecah persatuan hanya ada di rezim ini',0,1,kabinet beranta pecah rezim,"['kabinet', 'beranta', 'pecah', 'rezim']"
"#PDIPerjuanganMenang Dengan menekan perusahaan tambang yang target proyeknya tidak mungkin, lalu melelangnya dengan harga murah ke antek-antek China. NTB adalah contoh kasusnya. PDIP ingin menang? Dasar bajingan'",0,1,partai demokrasi indonesia juang menang tekan usaha tambang target proyek lelang harga murah antek antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,"['partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'tekan', 'usaha', 'tambang', 'target', 'proyek', 'lelang', 'harga', 'murah', 'antek', 'antek', 'cina', 'ntb', 'contoh', 'partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'dasar', 'bajing']"
