Tweet,HS_Individual,HS_Group,Cleaned_Tweet,Tweet_list
- saat semua pria berusaha menarik perhatianku. Anda kemudian meremehkan perhatian yang saya berikan secara khusus kepada Anda. Anda pada dasarnya adalah orang bodoh! ! !',1,0,pria usaha tarik perhati remeh perhati ikan khusus dasar orang bodoh,"['pria', 'usaha', 'tarik', 'perhati', 'remeh', 'perhati', 'ikan', 'khusus', 'dasar', 'orang', 'bodoh']"
USER USER Bajingan bodoh itu dari awal sudah terlihat bodoh dan bahkan lebih bodoh lagi hahahah',0,1,bajing bodoh lihat bodoh bodoh haha,"['bajing', 'bodoh', 'lihat', 'bodoh', 'bodoh', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',0,1,ya taplak meja bani kawan kawan,"['ya', 'taplak', 'meja', 'bani', 'kawan', 'kawan']"
"Setidaknya aku punya jari tengah untukmu, sebelum aku mengukur nyalimu dengan bajinganmu \xf0\x9f\x98\x8f'",1,0,jari ukur nyali bajing,"['jari', 'ukur', 'nyali', 'bajing']"
USER USER USER BANCI BISA MALU SAYA TIDAK BISA MENJAWAB PERTANYAAN KITA DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,0,banci malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
Pelaku kerusuhan 98 Prabowo S ingin menggulingkan pemerintahan Jokowi.... Nyata,1,0,laku rusuh 98 prabowo si guling perintah jokowi nyata,"['laku', 'rusuh', '98', 'prabowo', 'si', 'guling', 'perintah', 'jokowi', 'nyata']"
"PENGGUNA Nyonya, guru, saya senang menjadi guru yang suka bercanda atau esde.\nSaya rasa saya senang menjadi guru yang kalah.'",1,0,nyonya guru senang guru suka canda sekolah dasar senang guru kalah,"['nyonya', 'guru', 'senang', 'guru', 'suka', 'canda', 'sekolah', 'dasar', 'senang', 'guru', 'kalah']"
"USER USER USER USER USER USER Orang yang saya ajak bicara tidak mempunyai akal seperti anda yang tidak mempunyai otak. Mengenai buang air kecil unta, saya mengetahui hadis Nabi dan sah. Kalau kamu kafir pasti menolaknya, makanya kamu ahlunnar.'",1,0,orang ajak bicara akal sepe i otak kena buang air unta hadis nabi sah kafir tolak ahlun nar,"['orang', 'ajak', 'bicara', 'akal', 'sepe', 'i', 'otak', 'kena', 'buang', 'air', 'unta', 'hadis', 'nabi', 'sah', 'kafir', 'tolak', 'ahlun', 'nar']"
"Jadi cowoknya harus Gantle, kalau nggak Gantle, itu namanya BANCI!'",0,1,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Inilah USER yang pekerjaannya selalu tertunda! Setan!',0,1,kerja te unda setan,"['kerja', 'te', 'unda', 'setan']"
