Tweet,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
Tugas DIKTATOR JOKOWI menjadikan organisasi penyembelihan manusia Nahdatul Ulama sebagai inspirasi.,1,0,0,tugas diktator jokowi organisasi sembelih manusia nahdlatul ulama ulama inspirasi,"['tugas', 'diktator', 'jokowi', 'organisasi', 'sembelih', 'manusia', 'nahdlatul', 'ulama', 'ulama', 'inspirasi']"
"RT USER: Hei kunyuk USER, supaya ente paham ya? Prabowo Subianto jadi capres aja udah salah apalagi jadi presiden?! PS mem\xe2\x80\xa6'",1,0,0,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station mem,"['hai', 'kunyuk', 'paham', 'ya', 'prabowo', 'subianto', 'calon', 'presiden', 'salah', 'presiden', 'play', 'station', 'mem']"
"Jika Anies menang, langkah selanjutnya adalah menggulingkan Jokowi",0,0,1,anies menang langkah guling jokowi,"['anies', 'menang', 'langkah', 'guling', 'jokowi']"
"RT USER Bubarkan saja DPR, percuma saja bagi bangsa. Pertahankan KPK",0,0,1,bubar dewan wakil rakyat bangsa pe ahankan komisi berantas korupsi,"['bubar', 'dewan', 'wakil', 'rakyat', 'bangsa', 'pe', 'ahankan', 'komisi', 'berantas', 'korupsi']"
USER ya trs knp ? kok jdi lo ngatur2 instastory rangorang? bawel amat jadi CEBONG \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,0,0,ya atur ngatur instagram story orang orang bawel cebong,"['ya', 'atur', 'ngatur', 'instagram', 'story', 'orang', 'orang', 'bawel', 'cebong']"
USER Pak USER penyesatan yg dilakukan PBNU tampaknya demi kebaikan padahal menyembunyikan JAHAT Islam,0,1,0,sesat laku urus nahdlatul ulama sembunyi jahat islam,"['sesat', 'laku', 'urus', 'nahdlatul', 'ulama', 'sembunyi', 'jahat', 'islam']"
Mari kita lakukan referendum untuk membubarkan DPR RI atau KPK,0,0,1,mari laku referendum bubar dewan wakil rakyat ri komisi berantas korupsi,"['mari', 'laku', 'referendum', 'bubar', 'dewan', 'wakil', 'rakyat', 'ri', 'komisi', 'berantas', 'korupsi']"
"Usir dan depak Cina dan Amerika, komunisme, sekulerisme-liberalisme dan demokrasi, ganti dengan hukum Allah dan RasulNya! [Gus Syams]",0,0,1,usir depak cina amerika komunisme sekuler liberalisme demokrasi ganti hukum allah rasul gus syams,"['usir', 'depak', 'cina', 'amerika', 'komunisme', 'sekuler', 'liberalisme', 'demokrasi', 'ganti', 'hukum', 'allah', 'rasul', 'gus', 'syams']"
Kemenangan Anies-Sandi berada di pundak orang-orang yang terlibat kasus fitnah,1,0,0,menang anies sandi pundak orang orang libat fitnah,"['menang', 'anies', 'sandi', 'pundak', 'orang', 'orang', 'libat', 'fitnah']"
USER USER USER USER Otaknya menyatu......',1,0,0,otak,['otak']
Kenapa pemerintah korut melegalkan ganja? Karena pemerintahannya diktator komunis. Di legal in biar rakyat ga musingin pemimpinnya,1,0,0,perintah korea utara legal ganja perintah diktator komunis legal in biar rakyat pusing pimpin,"['perintah', 'korea', 'utara', 'legal', 'ganja', 'perintah', 'diktator', 'komunis', 'legal', 'in', 'biar', 'rakyat', 'pusing', 'pimpin']"
Perubahan Rezim; Ganti Presiden; ; Jangan Pilih Calon PDIP di Pilkada 27 Juni 2018; ; #2019GantiPresiden,0,0,1,ubah rezim ganti presiden pilih calon partai demokrasi indonesia juang pilih kepala daerah 27 juni 2018 2019 ganti presiden,"['ubah', 'rezim', 'ganti', 'presiden', 'pilih', 'calon', 'partai', 'demokrasi', 'indonesia', 'juang', 'pilih', 'kepala', 'daerah', '27', 'juni', '2018', '2019', 'ganti', 'presiden']"
"Mau mulai FuBu-an tuh, pelajari dulu calon partnernya. Jgn langsung hajar. Pake analisa SWOT. Pelajari strengthnya apa, weaknessnya apa, opportunity kyk gimana &amp; threat dr sebahaya apa. Logic dikit. Jgn gara2 disyerpik, begitu ketemu langsung sikat. Kalo dia psyco, mampus l",1,0,0,fubu an ajar calon nernya langsung hajar pakai analisa swot ajar kuat lemah oppo unity kayak amp threat bahaya logika gara gara disyerpik ketemu langsung sikat psiko mampus l,"['fubu', 'an', 'ajar', 'calon', 'nernya', 'langsung', 'hajar', 'pakai', 'analisa', 'swot', 'ajar', 'kuat', 'lemah', 'oppo', 'unity', 'kayak', 'amp', 'threat', 'bahaya', 'logika', 'gara', 'gara', 'disyerpik', 'ketemu', 'langsung', 'sikat', 'psiko', 'mampus', 'l']"
RT USER keris kok di letakkan di depan? Ngajak perang siapa hati-hati bntr lg dipecat sama USER,1,0,0,keris letak ajak perang hati hati sebentar pecat,"['keris', 'letak', 'ajak', 'perang', 'hati', 'hati', 'sebentar', 'pecat']"
