Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
- saat semua pria berusaha menarik perhatianku. Anda kemudian meremehkan perhatian yang saya berikan secara khusus kepada Anda. Anda pada dasarnya adalah orang bodoh! ! !',1,1,1,0,0,0,0,0,1,1,0,0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,"['cowok', 'usaha', 'lacak', 'perhati', 'gue', 'lantas', 'remeh', 'perhati', 'gue', 'kasih', 'khusus', 'basic', 'cowok', 'bego']"
USER USER Bajingan bodoh itu dari awal sudah terlihat bodoh dan bahkan lebih bodoh lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,kaum cebong kafir lihat dongok dungu haha,"['kaum', 'cebong', 'kafir', 'lihat', 'dongok', 'dungu', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya bani taplak kawan kawan,"['ya', 'bani', 'taplak', 'kawan', 'kawan']"
"Setidaknya aku punya jari tengah untukmu, sebelum aku mengukur nyalimu dengan bajinganmu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,gue jari gue ukur nyali bacot,"['gue', 'jari', 'gue', 'ukur', 'nyali', 'bacot']"
USER USER USER BANCI BISA MALU SAYA TIDAK BISA MENJAWAB PERTANYAAN KITA DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'kaleng', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
Pelaku kerusuhan 98 Prabowo S ingin menggulingkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,"['aktor', 'huru', 'hara', '98', 'prabowo', 'si', 'lengser', 'perintah', 'jokowi', 'nyata']"
"PENGGUNA Nyonya, guru, saya senang menjadi guru yang suka bercanda atau esde.\nSaya rasa saya senang menjadi guru yang kalah.'",1,1,1,0,0,0,0,1,0,1,0,0,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,"['bu', 'guru', 'enak', 'jablay', 'guru', 'sekolah', 'dasar', 'sih', 'kayak', 'nikmat', 'pecun', 'guru']"
"USER USER USER USER USER USER Orang yang saya ajak bicara tidak mempunyai akal seperti anda yang tidak mempunyai otak. Mengenai buang air kecil unta, saya mengetahui hadis Nabi dan sah. Kalau kamu kafir pasti menolaknya, makanya kamu ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,"['lawan', 'bicara', 'gue', 'intelek', 'kayak', 'otak', 'kencing', 'onta', 'gue', 'hadis', 'nabi', 'sahih', 'kafir', 'kayak', 'tolak', 'ahlun', 'nar']"
"Jadi cowoknya harus Gantle, kalau nggak Gantle, itu namanya BANCI!'",1,1,0,1,0,0,0,1,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Inilah USER yang pekerjaannya selalu tertunda! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,sih kerja delay mulu setan,"['sih', 'kerja', 'delay', 'mulu', 'setan']"
RT USER USER USER PKI hanya muncul menjelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
PENGGUNA PENGGUNA Itulah sebabnya nenek saya heran melihat kecebong selalu berbohong,1,1,1,0,0,0,0,0,1,1,0,0,nenek nenek heran cebong bohong,"['nenek', 'nenek', 'heran', 'cebong', 'bohong']"
"USER USER USER USER USER USER USER USER Islam Nusantara, produk JIL, dipasarkan secara agresif oleh antek-antek JIL.\n\nMeskipun JIL anti-Arab, namun pro-Aseng!\n\nAlmarhum KH. Hasyim Muzadi berkata,",1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'gencar', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"“Staf penjaga lagi latihan, kayaknya aku kelihatan kotor, cuma kaos dan sepatu flat, aku minta dinilai oleh bajingan itu, aku malas membelinya, aku lari ke dalam matahari.""",1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,"['pegawai', 'guardian', 'training', 'kayak', 'mentang', 'mentang', 'gue', 'kayak', 'gembel', 'kaos', 'flat', 'shoes', 'dijutekin', 'bangsat', 'malas', 'beli', 'kabur', 'gue', 'matahari']"
Pernahkah anda belajar mengaji gan??? MULUT YANG INDAH MULUTNYA SEPERTI ORANG YANG TAK TERBATAS farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,"['al', 'alquran', 'ya', 'bang', 'mulut', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
Baru kali ini Anjir melihat orang bodoh mau debat pilkada. Tugasnya adalah menyerang karakter tersebut. Malu kamu mpok silvy dan agus. #JKTPilkadaFinalDebate,1,1,0,1,0,0,0,0,1,0,1,0,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,"['anjir', 'kali', 'lihat', 'orang', 'bego', 'debat', 'pilih', 'kepala', 'daerah', 'kerja', 'serang', 'karakter', 'kecewa', 'on', 'empok', 'silvy', 'and', 'agus', 'debat', 'final', 'pilih', 'kepala', 'daerah', 'jakarta']"
KAMU TERPENDIDIKAN TINGGI TAPI BODOH....TIDAK ADA LARANGAN MEMBAWA AGAMA.. BIARKAN ORANG ISLAM YANG AHOK BAYAR TIDAK JADI PILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,"['didik', 'bodoh', 'larang', 'bawa', 'agama', 'biar', 'orang', 'islam', 'bayar', 'ahok', 'sadar', 'pilih', 'ahok', 'gila']"
"USER USER BTP yang terbaik,,,abaikan otak kecil...",1,1,0,1,0,0,0,0,1,0,1,0,ahok the best abai kaum kampret otak micin,"['ahok', 'the', 'best', 'abai', 'kaum', 'kampret', 'otak', 'micin']"
"USER USER, shell brain tidak perlu diservis. Padahal lawannya semakin bodoh dan bodoh. Dan jika tidak, dia tidak akan makan. Ha ha'",1,1,1,0,0,0,0,0,1,1,0,0,sih otak tempurung laden lawan dungu makan hehe,"['sih', 'otak', 'tempurung', 'laden', 'lawan', 'dungu', 'makan', 'hehe']"
"USER Awaasss... Jangan biarkan berita itu sampai ke telinga Anda! Nanti susah cari kosakatanya. Kalau sekedar ngomong, kamu julingkan mata, bibirmu mengarah ke samping, suaramu yang keluar seperti kentut… “politik itu kotor jaman sekarang!”. Kalau tau caranya.. Plng Sambil ky nhn ngeden..""bodoh!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,"['awaasss', 'berita', 'saudara', 'gerung', 'susah', 'cari', 'kosakata', 'bocor', 'picing', 'mata', 'bibir', 'monyong', 'samping', 'suara', 'ky', 'nhn', 'kentut', 'politik', 'kotor', 'zaman', 'b', 'pulang', 'ky', 'nhn', 'ngeden', 'dungu']"
Pinokio berumur 3 tahun. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur 3 2019 ganti presiden,"['pinokio', 'umur', '3', '2019', 'ganti', 'presiden']"
PENGGUNA RT sangat membenci Muslim,1,0,0,1,1,0,0,0,0,0,1,0,benci umat islam,"['benci', 'umat', 'islam']"
"USER USER USER ""Provokasi Mayat, Politisasi Agama"" Sebabkan Kekalahan Pilkada DKI, Begitulah Cebong Menggambarkan Kekalahan Tuannya.; FYI ahog tidak pernah mengikuti pemilu apa pun (kecuali menjadi wakil) dan dia bukan etnis mayoritas",1,1,1,0,0,1,0,0,0,1,0,0,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,"['provokasi', 'mayat', 'politisasi', 'agama', 'kalah', 'pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'cebong', 'deskripsi', 'kalah', 'junjung', 'for', 'your', 'information', 'ahok', 'pilih', 'camat', 'wakil', 'etnis', 'mayoritas']"
PENGGUNA Loh rendahan',1,1,0,1,0,0,0,0,1,0,1,0,wkwk bani lowo,"['wkwk', 'bani', 'lowo']"
"PENGGUNA sudah terbiasa dengan hal itu. Aku kpoper tapi kalau ngobrol dengan teman-temanku, idolaku itu homo banci'",1,1,1,0,0,0,0,1,0,1,0,0,kali gue gemar korea pop omong teman teman gue idol gue banci homo,"['kali', 'gue', 'gemar', 'korea', 'pop', 'omong', 'teman', 'teman', 'gue', 'idol', 'gue', 'banci', 'homo']"
Gulingkan Jokowi Bajingan!!,1,1,1,0,0,0,0,0,1,0,0,1,lengser jokowi bangsat,"['lengser', 'jokowi', 'bangsat']"
"PENGGUNA RT: Bajingan homo!!!\nHati-hati dengan anak-anak kita, terutama di kamar mandi pria, jangan tinggalkan mereka sendirian! URL",1,1,1,0,0,0,0,1,0,1,0,0,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,"['bajing', 'homo', 'hati', 'hati', 'hadap', 'anak', 'anak', 'utama', 'kamar', 'mandi', 'laki', 'laki', 'biar', 'uniform', 'resource', 'locator']"
"PENGGUNA Ya, itu sempurna'",1,1,1,0,0,0,0,0,1,1,0,0,iya cocot,"['iya', 'cocot']"
"PENGGUNA x || Kamu tidak mengatakannya dengan benar, kawan.",1,1,1,0,0,0,0,0,1,1,0,0,x bicara bangkai,"['x', 'bicara', 'bangkai']"
tapi tetap menikmati kebijakan-kebijakan yang sebelumnya diajukan oleh PKI... lho...,1,0,0,1,0,1,0,0,0,0,1,0,nikmat bijak usul partai komunis indonesia iya,"['nikmat', 'bijak', 'usul', 'partai', 'komunis', 'indonesia', 'iya']"
