Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
- ketika semua pria berusaha menarik perhatianku. Anda kemudian meremehkan perhatian yang saya berikan secara khusus kepada Anda. Anda pada dasarnya idiot!!! ! !',1,1,1,0,0,0,0,0,1,1,0,0,pria usaha tarik perhati remeh perhati ikan khusus dasar idiot,"['pria', 'usaha', 'tarik', 'perhati', 'remeh', 'perhati', 'ikan', 'khusus', 'dasar', 'idiot']"
USER USER Bajingan bodoh itu terlihat bodoh dari awal dan bahkan lebih bodoh lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,bajing bodoh lihat bodoh bodoh haha,"['bajing', 'bodoh', 'lihat', 'bodoh', 'bodoh', 'haha']"
PENGGUNA Ya taplak meja bani dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya taplak meja bani kawan kawan,"['ya', 'taplak', 'meja', 'bani', 'kawan', 'kawan']"
"Setidaknya aku punya jari tengah untukmu, sebelum aku mengukur nyalimu dengan bajinganmu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,jari ukur nyali bajing,"['jari', 'ukur', 'nyali', 'bajing']"
PENGGUNA PENGGUNA PENGGUNA BANCI BISA MALU SAYA TAK BISA MENJAWAB PERTANYAAN KAMI DARI 2 HARI YANG LALU.... NYUNGSEP KOE PENGGUNA URL,1,1,1,0,0,0,0,1,0,1,0,0,banci malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
Pelaku kerusuhan 98 Prabowo S ingin menggulingkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,laku rusuh 98 prabowo si guling perintah jokowi nyata,"['laku', 'rusuh', '98', 'prabowo', 'si', 'guling', 'perintah', 'jokowi', 'nyata']"
"USER Bu guru, saya suka menjadi guru yang suka bercanda atau esde.\nSaya rasa saya suka menjadi guru yang kalah.'",1,1,1,0,0,0,0,1,0,1,0,0,bu guru suka guru suka canda sekolah dasar suka guru kalah,"['bu', 'guru', 'suka', 'guru', 'suka', 'canda', 'sekolah', 'dasar', 'suka', 'guru', 'kalah']"
"USER USER USER USER USER USER Orang yang saya ajak bicara tidak punya pikiran seperti Anda tidak punya otak. Mengenai buang air kecil unta, saya mengetahui hadis Nabi dan sah. Kalau kamu kafir pasti kamu menolaknya, makanya kamu termasuk ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,orang ajak bicara pikir sepe i otak kena buang air unta hadis nabi sah kafir tolak masuk ahlun nar,"['orang', 'ajak', 'bicara', 'pikir', 'sepe', 'i', 'otak', 'kena', 'buang', 'air', 'unta', 'hadis', 'nabi', 'sah', 'kafir', 'tolak', 'masuk', 'ahlun', 'nar']"
"Jadi cowok itu harus Gantle, kalau bukan Gantle, disebut BANCI!'",1,1,0,1,0,0,0,1,0,0,1,0,cowok gantle gantle banci,"['cowok', 'gantle', 'gantle', 'banci']"
Inilah USER yang pekerjaannya selalu tertunda! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,kerja te unda setan,"['kerja', 'te', 'unda', 'setan']"
