Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
USER USER USER BANCI BISA MALU SAYA TIDAK BISA MENJAWAB PERTANYAAN KITA DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,0,0,0,1,0,banci malu pe anyaan 2 nyungsep koe uniform resource locator,"['banci', 'malu', 'pe', 'anyaan', '2', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
"PENGGUNA Nyonya, guru, saya senang menjadi guru yang suka bercanda atau esde.\nSaya rasa saya senang menjadi guru yang kalah.'",0,0,0,1,0,nyonya guru senang guru suka canda sekolah dasar senang guru kalah,"['nyonya', 'guru', 'senang', 'guru', 'suka', 'canda', 'sekolah', 'dasar', 'senang', 'guru', 'kalah']"
"Jadi cowoknya harus Gantle, kalau nggak Gantle, itu namanya BANCI!'",0,0,0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Pernahkah anda belajar mengaji gan??? MULUT YANG INDAH MULUTNYA SEPERTI ORANG YANG TAK TERBATAS farhatabbaslaw',1,0,1,0,0,ajar aji juragan mulut indah mulut sepe i orang batas farhat abbas law,"['ajar', 'aji', 'juragan', 'mulut', 'indah', 'mulut', 'sepe', 'i', 'orang', 'batas', 'farhat', 'abbas', 'law']"
"USER Awaasss... Jangan biarkan berita itu sampai ke telinga Anda! Nanti susah cari kosakatanya. Kalau sekedar ngomong, kamu julingkan mata, bibirmu mengarah ke samping, suaramu yang keluar seperti kentut… “politik itu kotor jaman sekarang!”. Kalau tau caranya.. Plng Sambil ky nhn ngeden..""bodoh!"". \xf0\x9f\x98\x8b",0,0,1,0,0,awaasss biar berita telinga susah cari kosakata bicara juling mata bibir arah samping suara sepe i kentut politik kotor jaman tau pulang ky nhn ngeden bodoh,"['awaasss', 'biar', 'berita', 'telinga', 'susah', 'cari', 'kosakata', 'bicara', 'juling', 'mata', 'bibir', 'arah', 'samping', 'suara', 'sepe', 'i', 'kentut', 'politik', 'kotor', 'jaman', 'tau', 'pulang', 'ky', 'nhn', 'ngeden', 'bodoh']"
"PENGGUNA sudah terbiasa dengan hal itu. Aku kpoper tapi kalau ngobrol dengan teman-temanku, idolaku itu homo banci'",0,0,0,1,0,gemar korea pop obrol teman teman idola homo banci,"['gemar', 'korea', 'pop', 'obrol', 'teman', 'teman', 'idola', 'homo', 'banci']"
"PENGGUNA RT: Bajingan homo!!!\nHati-hati dengan anak-anak kita, terutama di kamar mandi laki-laki, jangan tinggalkan mereka sendirian! URL",0,0,0,1,0,bajing homo hati hati anak anak utama kamar mandi laki laki tinggal uniform resource locator,"['bajing', 'homo', 'hati', 'hati', 'anak', 'anak', 'utama', 'kamar', 'mandi', 'laki', 'laki', 'tinggal', 'uniform', 'resource', 'locator']"
Apakah kamu transgender atau anjing apa :( URL,0,0,0,1,0,transgender anjing uniform resource locator,"['transgender', 'anjing', 'uniform', 'resource', 'locator']"
PENGGUNA Anak pecundang...tak jauh dari hobi zina.. haha',0,0,0,1,0,anak cundang hobi zina haha,"['anak', 'cundang', 'hobi', 'zina', 'haha']"
"USER USER, benarkah Menteri Soeharto itu gay?'",0,0,0,1,0,menteri soeha o gay,"['menteri', 'soeha', 'o', 'gay']"
USER Ngomong-ngomong soal itu... mulutmu kayak banci... belilah cermin dulu dan lihatlah dirimu sendiri. Kawan',0,0,0,1,0,bicara bicara mulut kayak banci bilah cermin lihat kawan,"['bicara', 'bicara', 'mulut', 'kayak', 'banci', 'bilah', 'cermin', 'lihat', 'kawan']"
USER Tunggu perintah dari USER'S LIVID IMAM. TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawakan ULAMA...\nBASIC Banj SEMPAK',0,0,0,1,0,tunggu perintah si livid imam tai bir bawa ulama basic banj sempak,"['tunggu', 'perintah', 'si', 'livid', 'imam', 'tai', 'bir', 'bawa', 'ulama', 'basic', 'banj', 'sempak']"
"ya! Mengaku Lebih Pintar dari Politisi, LIHAT KETERSEDIAANMU DULU, Mukamu Bodoh!!! Ckakakak PENGGUNA'",0,0,1,0,0,ya pintar politis lihat sedia muka bodoh ckakakak,"['ya', 'pintar', 'politis', 'lihat', 'sedia', 'muka', 'bodoh', 'ckakakak']"
"RT USER USER Jangan seperti banci kalengan, kamu GATOT sering bikin gaduh bapak-bapak REVERSE, siap bersaing di Pilpres 2019 lawan Jokowi",0,0,0,1,0,sepe i banci kaleng gatot bikin gaduh reverse saing pilih presiden 2019 lawan jokowi,"['sepe', 'i', 'banci', 'kaleng', 'gatot', 'bikin', 'gaduh', 'reverse', 'saing', 'pilih', 'presiden', '2019', 'lawan', 'jokowi']"
"Dahi Kadal Grombolan gosong, emang gitu sih, suka berisik tapi kalau grombolanya salah dia pura-pura jadi Budek..URL Dasar Grombolan Cingkrang",0,0,1,0,0,dahi kadal gerombol gosong sih suka berisik gerombol salah pura pura budek uniform resource locator dasar gerombol cingkrang,"['dahi', 'kadal', 'gerombol', 'gosong', 'sih', 'suka', 'berisik', 'gerombol', 'salah', 'pura', 'pura', 'budek', 'uniform', 'resource', 'locator', 'dasar', 'gerombol', 'cingkrang']"
"Sinyal kntl!! Pemeliharaan macam apa ini? Apakah Anda punya niat? Susah banget cuma login twitter, gimana cara buka redtube? Berengsek!! PENGGUNA'",0,0,0,1,0,sinyal kontol pelihara niat susah banget login twitter buka redtube berengsek,"['sinyal', 'kontol', 'pelihara', 'niat', 'susah', 'banget', 'login', 'twitter', 'buka', 'redtube', 'berengsek']"
RT USER: USER USER Apakah Anda cupet atau bodoh?\nSaya menulis dan tidak berbicara!!\n\xf0\x9f\x98\x81\xf0\x9f\x98\x80',0,0,1,0,0,cupet bodoh tulis bicara,"['cupet', 'bodoh', 'tulis', 'bicara']"
Kenapa kamu terlihat seperti jalang GTA yang ingin dijemput dengan mobil?,0,0,0,1,0,lihat sepe i jalang grand theft auto jemput mobil,"['lihat', 'sepe', 'i', 'jalang', 'grand', 'theft', 'auto', 'jemput', 'mobil']"
PENGGUNA Oh kaset banci \xf0\x9f\x98\x82',0,0,0,1,0,oh kaset banci,"['oh', 'kaset', 'banci']"
