Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
"KAU TAK PERNAH BELAJAR AL-QURAN, BRO??? TAK HERAN MULUTMU SEPERTI ORANG KAFIR YANG JAHAT DAN HINA farhatabbaslaw'",1,0,1,0,0,ajar al alquran bro heran mulut sepe i orang kafir jahat hina farhat abbas law,"['ajar', 'al', 'alquran', 'bro', 'heran', 'mulut', 'sepe', 'i', 'orang', 'kafir', 'jahat', 'hina', 'farhat', 'abbas', 'law']"
"PENGGUNA Awassss... Jangan sampai berita sampai ke kamu! Nanti susah cari kosakata. Kalau cuma ngomong, mata kamu juling, bibir kamu miring ke samping, suara kamu keluar kayak kentut... ""politik sekarang kotor banget!"". Kalau kamu tahu caranya.. Plng Sambil ky nhn ngeden..""goblok!"". \xf0\x9f\x98\x8b",0,0,1,0,0,awassss berita susah cari kosakata bicara mata juling bibir miring samping suara kayak kentut politik kotor banget pulang ky nhn ngeden goblok,"['awassss', 'berita', 'susah', 'cari', 'kosakata', 'bicara', 'mata', 'juling', 'bibir', 'miring', 'samping', 'suara', 'kayak', 'kentut', 'politik', 'kotor', 'banget', 'pulang', 'ky', 'nhn', 'ngeden', 'goblok']"
"ugh! Mengaku lebih pintar dari orang politik, AKU AKAN TERLIHAT SEPERTI KALIAN ORANG BODOH!!! PENGGUNA kakakakak'",0,0,1,0,0,uh pintar orang politik lihat sepe i orang bodoh kakakakak,"['uh', 'pintar', 'orang', 'politik', 'lihat', 'sepe', 'i', 'orang', 'bodoh', 'kakakakak']"
"Geng Cicak Dahi Terbakar, begitulah mereka, mereka suka membuat kegaduhan tapi kalau gengnya salah mereka pura-pura tuli...URL Geng Cingkrang Dasar",0,0,1,0,0,geng cicak dahi bakar suka gaduh geng salah pura pura tuli uniform resource locator geng cingkrang dasar,"['geng', 'cicak', 'dahi', 'bakar', 'suka', 'gaduh', 'geng', 'salah', 'pura', 'pura', 'tuli', 'uniform', 'resource', 'locator', 'geng', 'cingkrang', 'dasar']"
PENGGUNA RT: PENGGUNA PENGGUNA Apakah Anda rabun jauh atau tuli?\nSaya menulis bukan berbicara!!\n\xf0\x9f\x98\x81\xf0\x9f\x98\x80',0,0,1,0,0,rabun tuli tulis bicara,"['rabun', 'tuli', 'tulis', 'bicara']"
"Nantang buka Dilah, eh katanya Setan itu memang ujung-ujungnya kamus yang menentang ""Kenegarawanan Pak Joko Widodo, Presiden RI ke-7, makin stres aja, awas kena stroke atau serangan jantung nanti rakyat Indonesia kalah sama badut-badut politik"" MERDEKA.",0,0,1,0,0,tantang buka eh setan ujung ujung kamus kenegarawanan joko widodo presiden ri 7 stres awas kena strok serang jantung rakyat indonesia kalah badut badut politik merdeka,"['tantang', 'buka', 'eh', 'setan', 'ujung', 'ujung', 'kamus', 'kenegarawanan', 'joko', 'widodo', 'presiden', 'ri', '7', 'stres', 'awas', 'kena', 'strok', 'serang', 'jantung', 'rakyat', 'indonesia', 'kalah', 'badut', 'badut', 'politik', 'merdeka']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA Ya sudah, kita urus saja obrolannya... Jangan, yang mirip anggota DPR cabul di Mingkem itu... yang jelas-jelas sudah selingkuh selama 7 tahun, kalian ini pura-pura promiscuous... #bong200 nggak akan masuk otakmu...'",0,0,1,1,0,ya urus obrol anggota dewan wakil rakyat cabul diam selingkuh 7 pura pura promiscuous cebong iq ratus masuk otak,"['ya', 'urus', 'obrol', 'anggota', 'dewan', 'wakil', 'rakyat', 'cabul', 'diam', 'selingkuh', '7', 'pura', 'pura', 'promiscuous', 'cebong', 'iq', 'ratus', 'masuk', 'otak']"
USER CHRIST THE DOG ASSU JIAMPUT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING DAMN TELEK PEJUH SIWUK K,1,0,1,1,0,christ the dog assu jembut fucking damn tai pejuh siwuk kutang siwuk idiot fucking damn tai pejuh siwuk kutang siwuk idiot fucking damn tai pejuh siwuk kutang siwuk idiot fucking damn tai pejuh siwuk kutang siwuk idiot fucking damn tai pejuh siwuk k,"['christ', 'the', 'dog', 'assu', 'jembut', 'fucking', 'damn', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'damn', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'damn', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'damn', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'damn', 'tai', 'pejuh', 'siwuk', 'k']"
"Wanita sepertimu lebih baik mati saja, dia jelek, tidak perlu berpura-pura menjadi penata rias!",0,0,1,0,0,wanita sepe imu mati jelek pura pura tata rias,"['wanita', 'sepe', 'imu', 'mati', 'jelek', 'pura', 'pura', 'tata', 'rias']"
Aku perawan yang dijual...\nAku sok banget mau pesan.. Tante dasar idiot bego..',0,0,1,1,0,perawan jual sok banget pesan tante dasar idiot bego,"['perawan', 'jual', 'sok', 'banget', 'pesan', 'tante', 'dasar', 'idiot', 'bego']"
PENGGUNA PENGGUNA Mata lo sempit bro..\nPrestasi Pak Jokowi gak asli..\n\nDasar lo tolol..!!\nBodoh....!!',0,0,1,0,0,mata sempit bro prestasi jokowi asli dasar tolol bodoh,"['mata', 'sempit', 'bro', 'prestasi', 'jokowi', 'asli', 'dasar', 'tolol', 'bodoh']"
"USER USER mata anda sempit, yang janji itu Jokowi, tapi yang didakwa itu SBY.. mata anda sempit block \xf0\x9f\x98\x85\xf0\x9f\x98\x85'",0,0,1,0,0,mata sempit janji jokowi dakwa susilo bambang yudhoyono mata sempit blok,"['mata', 'sempit', 'janji', 'jokowi', 'dakwa', 'susilo', 'bambang', 'yudhoyono', 'mata', 'sempit', 'blok']"
USER sebagai clara\n- anak pintar\n- bodoh\n- paling idiot\n- cantik tapi idiot :(\n- tidak tahu bagaimana caranya malu\n- tidak punya nyali\n- tapi wajahnya sangat imut',0,0,1,0,0,clara anak pintar bodoh idiot cantik idiot malu nyali wajah imut,"['clara', 'anak', 'pintar', 'bodoh', 'idiot', 'cantik', 'idiot', 'malu', 'nyali', 'wajah', 'imut']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA Itulah tatapan matanya yang sipit... Matanya hanya melihat satu sisi...',0,0,1,0,0,tatap mata sipit mata lihat sisi,"['tatap', 'mata', 'sipit', 'mata', 'lihat', 'sisi']"
"USER Lo yang banci, ngomongnya lebih parah dari cewek. Kayak pengamen yang ngomongnya nggak dikasih duit \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nLo lebih baik ganteng, jelek gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nDisebutin gue langsung quote tweet \xf0",0,0,1,1,0,banci omong parah cewek kayak amen omong kasih duit ganteng jelek suram gue langsung kutip twit,"['banci', 'omong', 'parah', 'cewek', 'kayak', 'amen', 'omong', 'kasih', 'duit', 'ganteng', 'jelek', 'suram', 'gue', 'langsung', 'kutip', 'twit']"
PENGGUNA RT: PENGGUNA Jika Mawati yang busuk itu seorang Muslim... Maka dia takut pada dirinya sendiri\nNenek ini menunjukkan tanda-tanda kegilaan...',0,0,1,0,0,mawati busuk orang muslim takut nenek tanda tanda gila,"['mawati', 'busuk', 'orang', 'muslim', 'takut', 'nenek', 'tanda', 'tanda', 'gila']"
USER berarti Anda dinonaktifkan,0,0,1,0,0,bera i nonaktif,"['bera', 'i', 'nonaktif']"
PENGGUNA WOI BODOH',0,0,1,0,0,woi bodoh,"['woi', 'bodoh']"
