Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
PENGGUNA PENGGUNA Para bajingan bodoh itu sudah terlihat bodoh dari awal dan bahkan lebih bodoh hahahah',1,0,0,0,0,bajing bodoh lihat bodoh bodoh haha,"['bajing', 'bodoh', 'lihat', 'bodoh', 'bodoh', 'haha']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Lawan bicara saya tidak seintelektual Anda, dia tidak punya otak. Tentang kencing unta, saya mengakui hadis nabi dan itu sahih. Orang kafir seperti Anda pasti akan menolaknya, itu sebabnya Anda seorang ahlunnar.'",1,0,0,0,0,lawan bicara intelektual otak kencing unta hadis nabi sahih orang kafir sepe i tolak orang ahlun nar,"['lawan', 'bicara', 'intelektual', 'otak', 'kencing', 'unta', 'hadis', 'nabi', 'sahih', 'orang', 'kafir', 'sepe', 'i', 'tolak', 'orang', 'ahlun', 'nar']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Islam Nusantara, produk JIL, tengah gencar dipasarkan oleh antek-antek JIL.\n\nJIL yang anti Arab, justru pro Aseng!\n\nAlmarhum KH. Hasyim Muzadi mengatakan,",1,0,0,0,0,islam nusantara produk jil gencar pasar antek antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'gencar', 'pasar', 'antek', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"KAU TAK PERNAH BELAJAR AL-QURAN, BRO??? TAK HERAN MULUTMU SEPERTI ORANG KAFIR YANG JAHAT DAN HINA farhatabbaslaw'",1,0,1,0,0,ajar al alquran bro heran mulut sepe i orang kafir jahat hina farhat abbas law,"['ajar', 'al', 'alquran', 'bro', 'heran', 'mulut', 'sepe', 'i', 'orang', 'kafir', 'jahat', 'hina', 'farhat', 'abbas', 'law']"
PENGGUNA RT sangat membenci Muslim,1,0,0,0,0,benci muslim,"['benci', 'muslim']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA Saya sarankan, tak usah banyak-banyak menghardik pencuri ayat, langsung saja ke pokok persoalan, kan kamu manusia... Yang tak sependapat denganmu teriak-teriak saja tentang kafir sesat, liberalis, pemuja dukun, bla bla... hatimu pasti puas..'",1,0,0,0,0,saran hardik curi ayat langsung pokok manusia teriak teriak kafir sesat liberalis puja dukun bla bla hati puas,"['saran', 'hardik', 'curi', 'ayat', 'langsung', 'pokok', 'manusia', 'teriak', 'teriak', 'kafir', 'sesat', 'liberalis', 'puja', 'dukun', 'bla', 'bla', 'hati', 'puas']"
"USER Kroasia itu fanatik lho, kenapa kamu belajar dengan orang fanatik...apakah kamu sudah lupa tentang tanah surga??'",1,0,0,0,0,kroasia fanatik lo ajar orang fanatik lupa tanah surga,"['kroasia', 'fanatik', 'lo', 'ajar', 'orang', 'fanatik', 'lupa', 'tanah', 'surga']"
"Semoga ada tindak lanjutnya!; ; Pelaporan ""penista agama"" Ade Armando akan dilakukan langsung oleh Ketua Umum FPI, KH. Shobri Lubis, ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Mungkin USER;",1,0,0,0,0,moga tindak lapor nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat,"['moga', 'tindak', 'lapor', 'nista', 'agama', 'adek', 'armando', 'laku', 'langsung', 'ketua', 'front', 'bela', 'islam', 'kh', 'shobri', 'lubis', 'badan', 'reserse', 'kriminal', 'markas', 'polisi', 'republik', 'indonesia', 'gambir', 'jaka', 'a', 'pusat', 'selasa', '10', '4', '13', '00', 'indonesia', 'barat']"
"USER Penjelasan saya tidak BUNUH, mohon TOLAK USER Apollinaris Darmawan Sebut Al Quran Kitab Sampah",1,0,0,0,0,bunuh mohon tolak apollinaris darmawan al alquran kitab sampah,"['bunuh', 'mohon', 'tolak', 'apollinaris', 'darmawan', 'al', 'alquran', 'kitab', 'sampah']"
Oleh rezim saat ini yang berada di bawah kendali Negara Komunis Tiongkok yang merupakan satu-satunya pelindung rezim anti-Islam (Jokowi),1,1,0,0,0,rezim kendali negara komunis tiongkok rupa lindung rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'komunis', 'tiongkok', 'rupa', 'lindung', 'rezim', 'anti', 'islam', 'jokowi']"
